hashtag_id,common_name,Class,scientific_name,tag,taxon_rank,NPSpecies_GRCA_status,NPSpecies_ZION_status
ht_001,crowd annotation,non-animal id,,#actionshot,non-animal id,,
ht_002,,incomplete hashtag,,#am,incomplete species,,
ht_003,American Robin,Ave,Turdus migratorius,#american_robin,species,,
ht_004,Ash-throated flycatcher,Ave,Myiarchus cinerascens,#ashthroated_flycatcher,species,,
ht_005,Bird,Ave,Ave,#ave,class,,
ht_006,unidentifieable bird,Ave,Ave,#ave_only,class,,
ht_007,Bat,Mammalia,Chiroptera,#bat,species,,
ht_008,Bewick's wren,Ave,Thryomanes bewickii,#bewicks_wren,species,,
ht_009,Bird,Ave,Ave,#big_bird,class,,
ht_010,Bird,Ave,Ave,#bird,class,,
ht_011,,incomplete hashtag,,#black,incomplete species,,
ht_012,Black and White Warbler,Ave,Mniotilta varia,#black_and_white_warbler,species,,
ht_013,Black Phoebe,Ave,Sayornis nigricans,#black_phoebe,species,,
ht_014,Black-throated Sparrow,Ave,Amphispiza bilineata,#black_throated_sparrow,species,,
ht_015,Black-chinned hummingbird,Ave,Archilochus alexandri,#black-chinned_hummingbird,species,,
ht_016,Black-throated Gray Warbler,Ave,Setophaga nigrescens,#black-throated_gray_warbler,species,,
ht_017,Brewer's blackbird,Ave,Euphagus cyanocephalus,#blackbird,species,,
ht_018,,Ave,Polioptila caerulea,#blue_gray_gnatcatcher,species,,
ht_019,Brewer's blackbird,Ave,Euphagus cyanocephalus,#brewers_blackbird,species,,
ht_020,,Ave,Ave,#brid,class,,
ht_021,Bushtit,Ave,Psaltriparus minimus,#bushtit,species,,
ht_022,butterfly,Insecta,Lepidoptera,#butterfly,order,,
ht_023,Canada Goose,Ave,Branta canadensis,#Canada_geese,species,,
ht_024,Canada Goose,Ave,Branta canadensis,#canada_geese,species,,
ht_025,Canada Goose,Ave,Branta canadensis,#canada_goose,species,,
ht_026,Canada Goose,Ave,Branta canadensis,#Canada_goose,species,,
ht_027,Canada Goose,Ave,Branta canadensis,#canada_jay,species,,
ht_028,Canada Goose,Ave,Branta canadensis,#Canadiangeese,species,,
ht_029,Canada Goose,Ave,Branta canadensis,#canadiangoose,species,,
ht_030,Canada Goose,Ave,Branta canadensis,#Canadiangoose,species,,
ht_031,Canada Goose,Ave,Branta canadensis,#canadiangoose,species,,
ht_032,Canyon towhee,Ave,Melozone fusca,#canyon_towhee,species,,
ht_033,Canyon Wren,Ave,Catherpes mexicanus,#canyon_wren,species,,
ht_034,Gray Catbird,Ave,Dumetella carolinensis,#catbird,species,,
ht_035,Chipmunk,Mammalia,Neotamias,#chipmunk,genus,,
ht_036,Chipping Sparrow,Ave,Spizella passerina,#chipping_sparrow,species,,
ht_037,Common raven,Ave,Corvus corax,#common_raven,species,,
ht_038,Crissal thrasher,Ave,Toxostoma crissale,#crissal_thrasher,species,,
ht_039,American crow,Ave,Corvus brachyrhynchos,#crow,species,,
ht_040,Curve-billed thrasher,Ave,Toxostoma curvirostre,#curve_billed_thrasher,species,,
ht_041,Dark-eyed Junco,Ave,Junco hyemalis,#dark_eyed_junco,species,,
ht_042,Deer mouse,Mammalia,Peromyscus,#deer_mouse,genus,,
ht_043,Kangaroo Rat,Mammalia,Dipodomys,#dipodomys,genus,,
ht_044,Mourning Dove,Ave,Zenaida macroura,#dove,species,,
ht_045,Dragonfly,Insecta,Anisoptera,#dragonfly,infraorder,,
ht_046,Eurasian Collared-Dove,Ave,Streptopelia decaocto,#eurasian_collared,species,,
ht_047,Eurasian Collared-Dove,Ave,Streptopelia decaocto,#eurasian_collared-dove,species,,
ht_048,,classification flag,,#expert_consensus,classification flag,,
ht_049,crowd annotation,non-animal id,,#female,non-animal id,,
ht_050,Northern Flicker,Ave,Colaptes auratus,#flicker,species,,
ht_051,Gambel's quail,Ave,Callipepla gambelii,#gambels_quail,species,,
ht_052,Gambel's quail,Ave,Callipepla gambelii,#gambels_quail_male,species,,
ht_053,Canada Goose,Ave,Branta canadensis,#geese,species,,
ht_054,Canada Goose,Ave,Branta canadensis,#goose,species,,
ht_055,Gray Catbird,Ave,Dumetella carolinensis,#gray_catbird,species,,
ht_056,,incomplete hashtag,,#great,incomplete species,,
ht_057,Green-tailed Towhee,Ave,Pipilo chlorurus,#green_tailed_towhee,species,,
ht_058,,non-animal id,,#grooming,non-animal id,,
ht_059,crowd annotation,non-animal id,,#group,non-animal id,,
ht_060,Gilded Flicker,Ave,Colaptes chrysoides,#guildedflicker,species,,
ht_061,,non-animal id,,#handling,non-animal id,,
ht_062,Red-Tailed Hawk,Ave,Buteo jamaicensis,#hawk,species,,
ht_063,Hermit Thrush,Ave,Catharus guttatus,#hermit_thrush,species,,
ht_064,House Finch,Ave,Haemorhous mexicanus,#house_finch,species,,
ht_065,House Sparrow,Ave,Passer domesticus,#house_sparrow,species,,
ht_066,Hummingbird,Ave,Trochilidae,#hummingbird,family,,
ht_067,Insect,Insecta,Insecta,#insect,class,,
ht_068,Woodhouse's Scrub-Jay,Ave,Aphelocoma woodhouseii,#jay,species,,
ht_069,Dark-eyed Junco,Ave,Junco hyemalis,#junco,species,,
ht_070,Dark-eyed Junco,Ave,Junco hyemalis,#juneco,species,,
ht_071,Juniper Titmouse,Ave,Baeolophus ridgwayi,#juniper_titmouse,species,,
ht_072,,non-animal id,,#juvenile,non-animal id,,
ht_073,,non-animal id,,#juveniles,non-animal id,,
ht_074,,Ave,Ave,#large_bird,class,,
ht_075,Lark sparrow,Ave,Chondestes grammacus,#lark_sparrow,species,,
ht_076,Lincoln's Sparrow,Ave,Melospiza lincolnii,#lincolns_sparrow,species,,
ht_077,,Reptilia,Lacertilia,#lizard,suborder,,
ht_078,MacGillivray's warbler,Ave,Geothlypis tolmiei,#macgillivrays_warbler,species,,
ht_079,Mexican jay,Ave,Aphelocoma wollweberi,#mexian_jay,species,,
ht_080,Mountain Chickadee,Ave,Poecile gambeli,#mountain_chickadee,species,,
ht_081,Mourning Dove,Ave,Zenaida macroura,#mourning_dove,species,,
ht_082,Mule Deer,Mammalia,Odocoileus hemionus,#mule_deer,species,,
