LatrineBag,LatrineSite,Segment,segment_id,Initials,dry_weight_g,color
S11,MY_Delivery,S11_S01_0720,s61,CA,1.4566,#6B2B06
S11,MY_Delivery,S11_S02_0720,s62,CA,1.4792,#6B2B06
S11,MY_Delivery,S11_S03_0720,s63,CA,1.0482,#6B2B06
S11,MY_Delivery,S11_S04_0720,s64,CA,1.2396,#6B2B06
S11,MY_Delivery,S11_S05_0720,s65,CA,1.8818,#6B2B06
S11,MY_Delivery,S11_S06_0720,s66,CA,0.9408,#6B2B06
S11,MY_Delivery,S11_S07_0720,s67,CA,1.5087,#6B2B06
S11,MY_Delivery,S11_S08_0720,s68,CA,1.8306,#6B2B06
S11,MY_Delivery,S11_S09_0720,s69,CA,1.3706,#6B2B06
S11,MY_Delivery,S11_S10_0720,s70,CA,1.6782,#6B2B06
S4,MY_Delivery,S4_S01_0720,s76,CA,1.3681,#6B2B06
S4,MY_Delivery,S4_S02_0720,s77,CA,1.163,#6B2B06
S12,MY_Delivery,S12_S01_0720,s106,CA,3.0928,#6B2B06
S12,MY_Delivery,S12_S02_0720,s107,CA,2.1723,#6B2B06
S12,MY_Delivery,S12_S03_0720,s108,CA,3.1636,#6B2B06
S12,MY_Delivery,S12_S04_0720,s109,CA,1.2334,#6B2B06
S12,MY_Delivery,S12_S05_0720,s110,CA,2.4181,#6B2B06
S12,MY_Delivery,S12_S06_0720,s111,CA,3.2967,#6B2B06
S12,MY_Delivery,S12_S07_0720,s112,CA,0.5393,#6B2B06
S12,MY_Delivery,S12_S08_0720,s113,CA,0.7465,#6B2B06
S12,MY_Delivery,S12_S09_0720,s114,CA,0.8748,#6B2B06
S12,MY_Delivery,S12_S10_0720,s115,CA,1.4545,#6B2B06
S19,MY_Roadhouse,S19_S01_0720,s11,CA,5.2,#6B2B06
S19,MY_Roadhouse,S19_S02_0720,s12,CA,3.4,#6B2B06
S19,MY_Roadhouse,S19_S03_0720,s13,CA,4,#6B2B06
S19,MY_Roadhouse,S19_S04_0720,s14,CA,4.3,#6B2B06
S19,MY_Roadhouse,S19_S05_0720,s15,CA,2.3,#6B2B06
S19,MY_Roadhouse,S19_S06_0720,s16,CA,2.5,#6B2B06
S19,MY_Roadhouse,S19_S07_0720,s17,CA,3.6,#6B2B06
S19,MY_Roadhouse,S19_S08_0720,s18,CA,1.6,#6B2B06
S19,MY_Roadhouse,S19_S09_0720,s19,CA,4.6,#6B2B06
S19,MY_Roadhouse,S19_S10_0720,s20,CA,2.5,#6B2B06
S7,MY_RoadHouse,S7_S01_0720,s90,CA,2.4761,#6B2B06
S7,MY_RoadHouse,S7_S02_0720,s91,CA,1.352,#6B2B06
S7,MY_RoadHouse,S7_S03_0720,s92,CA,1.4672,#6B2B06
S7,MY_RoadHouse,S7_S04_0720,s93,CA,1.7781,#6B2B06
S7,MY_RoadHouse,S7_S05_0720,s94,CA,0.4619,#6B2B06
S7,MY_RoadHouse,S7_S06_0720,s95,CA,0.8064,#6B2B06
S7,MY_RoadHouse,S7_S07_0720,s96,CA,1.9663,#6B2B06
S7,MY_RoadHouse,S7_S08_0720,s97,CA,2.6904,#6B2B06
S7,MY_RoadHouse,S7_S09_0720,s98,CA,2.684,#6B2B06
S7,MY_RoadHouse,S7_S10_0720,s99,CA,1.1746,#6B2B06
S19,MY_Roadhouse,S19_S01_25J19,s122,ZB,,#6B2B06
S19,MY_Roadhouse,S19_S02_25J19,s123,ZB,,#6B2B06
S19,MY_Roadhouse,S19_S03_25J19,s124,ZB,,#6B2B06
S19,MY_Roadhouse,S19_S04_25J19,s125,ZB,,#6B2B06
