CameraCaptureEvent_id,Site,SeasonYear,On_Drake_Harddrive,On_Monarch_Harddrive,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_TimeZone,SiteTime_Correct,SiteTime_Adjust_Direction,SiteTime_Adjust_Value,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
EC1_CC_02Oct2021,EC1,05_Fall2021,Yes,Yes,n/a,Yes,2022-10-31,photo,,No,positive,0002:06:29 16:00:00,153,153,153,0,153,30,
EC2_CC_02Oct2021,EC2,05_Fall2021,Yes,Yes,n/a,Yes,2022-01-25,photo,UTC -6,No,positive,0002:06:29 16:24:00,60,36,72,0,72,17,
GCBAR_CC_07Mar2022,GCBAR,07_Spring2022,Yes,Yes,2022-08-01,Yes,No,video,UTC -7,No,positive,0000:00:00 00:60:00,90,31,0,31,31,35,
GCBH_CC_14Jun2022,GCBH,08_Summer2022,Yes,Yes,No,Yes,No,video,UTC -7,No,negative,0000:00:00 00:07:00,96,136,0,136,136,48,
GCC_CC_13Mar2022,GCC,07_Spring2022,No,,,,No,,UTC -7,No,negative,0000:00:00 00:10:00,,,,,,36,
NRL_CC_11Jun2022,GCNRL,08_Summer2022,Yes,Yes,No,Yes,No,video,UTC -7,No,negative,0000:00:00 00:12:00,86,808,0,808,808,47,
NRM_CC_16Sep2022,GCNRM,09_Fall2022,Yes,,n/a,Yes,No,photo,UTC -7,No,negative,0000:00:00 00:05:00,98,1626,3252,0,3252,52,
GCRT_CC_13Mar2022,GCRT,07_Spring2022,Yes,Yes,n/a,Yes,2022-09-06,photo,UTC -7,No,negative,0000:00:00 00:10:00,99,227,454,0,454,36,
GCRT_CC_12Jun2022,GCRT,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,UTC -7,No,negative,0000:00:00 00:07:00,90,6201,12402,0,12402,47,
GCTL_CC_19Sep2022,GCTL,09_Fall2022,Yes,,No,Yes,No,video,UTC -7,No,negative,0000:00:00 00:38:00,96,104,0,104,104,53,
GCYL_CC_19Sep2022,GCYL,09_Fall2022,Yes,,No,Yes,No,video,UTC -7,No,negative,0000:00:00 00:20:00,,16,0,16,16,53,
KC9_CC_28Jun2022,KC09,08_Summer2022,Yes,Yes,n/a,Yes,No,photo,,No,negative,0000:00:00 00:12:00,,107,214,0,214,50,
MY1_CC_10Aug2022,MY1,08_Summer2022,Yes,Yes,No,Yes,No,video,,No,negative,0000:00:00 00:12:00,97,2,0,2,2,50,
MY2_CC_11Aug2022,MY2,08_Summer2022,Yes,,No,Yes,No,video,,No,negative,0000:00:00 00:12:00,98,2,0,2,2,50,
MY2_CC_05Oct2021,MY2,05_Fall2021,Yes,Yes,2022-04-26,Yes,No,video,UTC -6,No,positive,0000:00:00 00:42:00,97,65,0,65,65,15,
MY3_CC_11Aug2022,MY3,08_Summer2022,No,,,,No,,,No,negative,0000:00:00 00:14:00,,,,,,51,
