CameraCaptureEvent,On_Drake_Harddrive,In_Two_Locations,Uploaded_to_Kaltura,FilesFormated_For_Zooniverse,Uploaded_Zooniverse,CameraSetting,TimeDate_Correct,Event_Duration_Days,n_TriggerEvents,n_Pictures,n_Videos,n_MediaFiles,DataPage,Notes
GC15H_CC_06Dec2021,Yes,Yes,n/a,Yes,2022-01-20,photo,Yes,83,3,6,0,6,4,
ZHQ_CC_04Oct2021,Yes,Yes,n/a,Yes,2022-01-20,photo,Yes,83,23,45,0,45,9,
EC1_CC_01Dec2021,Yes,Yes,n/a,Yes,2022-01-25,photo,Yes,59,32,64,0,64,,
EC2_CC_02Oct2021,Yes,Yes,n/a,Yes,2022-01-25,photo,Wrong date,60,36,72,0,72,17,
GC15H_CC_11Sep2021,Yes,Yes,n/a,Yes,2022-01-25,photo,Yes,47,94,188,0,188,45,
GCBB_CC_05Dec2021,Yes,Yes,n/a,Yes,2022-01-25,photo,Yes,83,35,70,0,70,4,
GCHR_CC_08Dec2021,Yes,Yes,n/a,Yes,2022-01-25,photo,,5,41,82,0,82,,
PC_CC_27Jun2021,Yes,Yes,n/a,Yes,2022-01-25,photo,Yes,111,41,82,0,82,6,
SGP_CC_15Dec2021,Yes,Yes,n/a,Yes,2022-01-25,photo,Yes,68,102,203,0,203,1,
GCHR_CC_10Sep2021,Yes,Yes,n/a,Yes,2022-04-14,photo,Yes,46,52,52,0,52,23,
PC_CC_02Aug2021,Yes,Yes,n/a,Yes,2022-05-03,photo,Yes,35,115,230,0,230,3,
RWH_CC_22Jul2021,Yes,Yes,n/a,Yes,2022-05-03,photo,Yes,69,102,204,0,204,5,
ZHQ_CC_01Dec2021,Yes,Yes,n/a,Yes,2022-05-03,photo,Yes,57,125,250,0,250,5,
GCBB_CC_12Sep2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,97,153,459,0,459,44,
GCC_CC_25July2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,51,11598,23196,0,23196,41,
LH_CC_15Dec2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Wrong date,82,281,281,0,281,1,
NRM_CC_02Dec2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,74,156,312,0,312,2,
NRM_CC_27Jul2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,25,131,262,0,262,41,
NRM_CC_29Jun2021,Yes,Yes,n/a,Yes,2022-06-03,photo,,21,193,386,0,386,,
OC_CC_01Dec2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,57,195,390,0,390,5,
PC_CC_01Dec2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,57,139,278,0,278,5,
RWH_CC_01Oct2021,Yes,Yes,n/a,Yes,2022-06-03,photo,,70,121,363,0,363,,
RWP_CC_01Dec2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,59,133,265,0,265,5,
RWP_CC_02Oct2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,71,228,456,0,456,2,
SGP_CC_07Oct2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,91,132,264,0,264,24,
WH_CC_15Dec2021,Yes,Yes,n/a,Yes,2022-06-03,photo,Yes,183,198,396,0,396,1,
DZ_CC_14Jul2021,Yes,Yes,n/a,Yes,2022-06-04,photo,Yes,27,244,488,0,488,24,
EC1_CC_02Aug2021,Yes,Yes,n/a,Yes,2022-06-04,photo,Yes,75,539,1078,0,1078,3,
EC2_CC_18May2021,Yes,Yes,n/a,Yes,2022-06-04,photo,Yes,64,647,647,0,647,17,
GCHR_CC_03Dec2021,Yes,Yes,n/a,Yes,2022-06-04,photo,Yes,83,539,1078,0,1078,2,
GCRT_CC_03Dec2021,Yes,Yes,n/a,Yes,2022-06-04,photo,Yes,83,544,1088,0,1088,2,
NRM_CC_17Sep2021,Yes,Yes,n/a,Yes,2022-06-04,photo,Yes,52,241,482,0,482,40,
RWP_CC_22Jul2021,Yes,Yes,n/a,Yes,2022-06-04,photo,Yes,72,255,510,0,510,2,
ZL07_CC_10Dec2020,Yes,Yes,n/a,Yes,2022-06-04,photo,Yes,,489,978,0,978,27,
GC15H_CC_25July2021,Yes,Yes,n/a,Yes,2022-06-06,photo,Yes,49,1054,2108,0,2108,41,
GCC_CC_10Sep2021,Yes,Yes,n/a,Yes,2022-06-06,photo,Yes,46,823,1647,0,1647,23,
GCRT_CC_10Sep2021,Yes,Yes,n/a,Yes,2022-06-06,photo,,46,645,1290,0,1290,23,
OC_CC_04Oct2021,Yes,Yes,n/a,Yes,2022-06-06,photo,,73,621,1242,0,1242,,
PC_CC_04Oct2021,Yes,Yes,n/a,Yes,2022-06-06,photo,Yes,62,1188,2376,0,2376,6,
WH_CC_17Feb2021,Yes,Yes,n/a,Yes,2022-06-06,photo,Yes,27,1098,2196,0,2196,29,
DZ_CC_02Oct2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Yes,79,2309,4618,0,4618,,
EC1_CC_17Feb2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Wrong date,28,1481,2962,0,2962,30,
EC1_CC_18May2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Yes,89,2229,4459,0,4459,30,
EC1_CC_19Jan2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Yes,29,3957,7914,0,7914,30,
GC22_CC_05Dec2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Yes,83,2575,5150,0,5150,4,
GCBAC_CC_06Jun2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Yes,29,2358,4716,0,4716,,
GCPP_CC_03Dec2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Yes,83,1391,2781,0,2781,2,
GCPP_CC_10Sep2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Yes,46,2291,4582,0,4582,23,
GCRT_CC_25Jul2021,Yes,Yes,n/a,Yes,2022-06-07,photo,Yes,51,4609,9218,0,9218,41,
OC_CC_14Jul2021,Yes,Yes,n/a,Yes,2022-06-07,photo,,155,2141,4282,0,4282,,
EC2_CC_02Aug2021,Yes,Yes,n/a,Yes,2022-06-08,photo,Yes,75,10927,21854,0,21854,3,
GCPP_CC_12Jun2022,Yes,Yes,n/a,Yes,2022-07-18,photo,Yes,90,6026,12052,0,12052,47,
GC22_CC_08Mar2022,Yes,Yes,n/a,Yes,2022-08-31,photo,Yes,93,5345,10690,0,10690,35,
DZ_CC_25Jun2022,Yes,Yes,n/a,Yes,2022-09-05,photo,Yes,99,2236,4472,0,4472,,
EC1_CC_14Mar2022,Yes,Yes,n/a,Yes,2022-09-05,photo,Yes,102,50,100,0,100,36,
EC2_CC_14Mar2021,Yes,Yes,n/a,Yes,2022-09-05,photo,Yes,24,52,52,0,52,17,
ECC_CC_24Jun2022,Yes,Yes,n/a,Yes,2022-09-05,photo,Yes,101,10043,20086,0,20086,,
ECT_CC_24Jun2022,Yes,Yes,n/a,Yes,2022-09-05,photo,Yes,101,1165,2330,0,2330,,
GC15H_CC_08Mar2022,Yes,Yes,n/a,Yes,2022-09-05,photo,Yes,93,80,160,0,160,35,
GCBB_CC_14Jun2022,Yes,Yes,n/a,Yes,2022-09-05,photo,Yes,96,68,136,0,136,48,
GCHR_CC_13Mar2022,Yes,Yes,n/a,Yes,2022-09-05,photo,Yes,94,113,226,0,226,36,
GCRT_CC_13Mar2022,Yes,Yes,n/a,Yes,2022-09-06,photo,10 min fast,99,227,454,0,454,36,
HQ_CC_26Jun2022,Yes,Yes,n/a,Yes,2022-09-06,photo,,,640,1280,0,1280,,
KC9_CC_02May2022,Yes,Yes,n/a,Yes,2022-09-06,photo,,,61,122,0,122,,
ETC_CC_24Jun2022,Yes,Yes,n/a,Yes,2022-09-07,photo,Yes,,9648,19297,0,19297,,
EC2_CC_14Mar2022,Yes,Yes,n/a,Yes,2022-10-26,photo,Wrong date,102,,85,0,85,36,
EC2_CC_19Jan2021,Yes,Yes,n/a,Yes,2022-10-26,photo,Yes,29,36,36,0,36,17,
MY1_CC_04May2022,Yes,Yes,n/a,n/a,n/a,empty,n/a,94,0,0,0,0,,
DZ_CC_01Oct2022,Yes,Yes,n/a,Yes,No,photo,Yes,98,1537,3074,0,3074,,
DZ_CC_17Mar2022,Yes,Yes,n/a,Yes,No,photo,Yes,91,1107,2214,0,2214,38,
EC1_CC_02Oct2021,Yes,Yes,n/a,Yes,No,photo,Wrong date,153,153,153,0,153,30,
EC1_CC_14Mar2021,Yes,Yes,n/a,Yes,No,photo,Yes,,26,52,0,52,,
EC2_CC_17Feb2021,Yes,Yes,n/a,Yes,No,photo,Yes,35,35,35,0,35,17,
ECC_CC_02Oct2022,Yes,Yes,n/a,Yes,No,photo,Yes,100,351,702,0,702,,
ECT_CC_02Oct2022,Yes,Yes,n/a,Yes,No,photo,Yes,100,793,1586,0,1586,,
FrontOffice_CC_19Jan2021,Yes,Yes,2022-04-26,Yes,No,video,,,8,0,8,8,,
GC15H_CC_13Jun2022,Yes,Yes,n/a,Yes,No,photo,Yes,96,10014,20028,0,20028,48,
GC22_CC_14Jun2022,Yes,Yes,n/a,Yes,No,photo,Yes,96,23838,47675,0,47675,48,
GCBAR_CC_06Dec2021,Yes,Yes,2022-02-22,Yes,No,video,Yes,83,63,0,63,63,4,
GCBAR_CC_07Mar2022,Yes,Yes,2022-08-01,Yes,No,video,delay 1 hour,90,31,0,31,31,35,
GCBAR_CC_13Sep2021,Yes,Yes,2022-02-22,Yes,No,video,Yes,102,152,0,152,152,44,
GCBAR_CC_16Jun2022,Yes,Yes,No,Yes,No,video,Yes,100,382,0,382,382,49,
GCBAR_CC_19Sep2022,Yes,Yes,No,Yes,No,video,Yes,95,300,0,300,300,,
GCBH_CC_05Dec2021,Yes,Yes,2022-02-22,Yes,No,video,Yes,83,17,0,17,17,4,
GCBH_CC_06Jun2021,Yes,Yes,2022-05-24,Yes,No,video,Yes,30,106,2,106,108,40,"Two photo files -- appear to be accidental captures that occurred during camera setup, with all actual trigger events being video captures"
GCBH_CC_09Mar2022,Yes,Yes,No,Yes,No,video,Yes,93,151,0,151,151,35,
GCBH_CC_12Sep2021,Yes,Yes,2022-03-05,Yes,No,video,Yes,97,6,0,6,6,44,
GCBH_CC_14Jun2022,Yes,Yes,No,Yes,No,video,7 min fast,96,136,0,136,136,48,
GCC_CC_12Jun2022,Yes,Yes,n/a,Yes,No,photo,Yes,90,12203,24407,0,24407,47,
GCC_CC_19Sep2022,Yes,Yes,n/a,Yes,No,photo,Yes,100,3518,7036,0,7036,,
GCETCR_CC_06Dec2021,Yes,Yes,2022-03-01,Yes,No,video,Yes,82,19,0,19,19,1,
GCETCR_CC_07Mar2022,Yes,Yes,No,Yes,No,video,Yes,90,16,0,16,16,35,
GCETCR_CC_14Sep2021,Yes,Yes,2022-03-01,Yes,No,video,Yes,103,108,0,108,108,,
GCETCR_CC_16Jun2022,Yes,Yes,No,Yes,No,video,Yes,100,42,0,42,42,49,
GCETCR_CC_19Sep2022,Yes,Yes,No,Yes,No,video,Yes,96,19,0,19,19,,
GCETRF_CC_13Sep2021,Yes,Yes,2022-05-31,Yes,No,video,Yes,,121,1,121,122,45,One photo file -- appears to be accidental capture during camera deployment
GCETRO_CC_06Dec2021,Yes,Yes,2022-04-26,Yes,No,video,,82,79,0,79,79,4,
GCETRO_CC_07Mar2022,Yes,Yes,No,Yes,No,video,Yes,90,63,0,63,63,35,
GCETRO_CC_14Sep2021,Yes,Yes,2022-04-20,Yes,No,video,Yes,103,60,0,60,60,7,
GCETRO_CC_19Sep2022,Yes,Yes,No,Yes,No,video,Yes,,290,0,290,290,,
GCHR_CC_12Jun2022,Yes,Yes,n/a,Yes,No,photo,Yes,92,157,314,0,314,47,
GCHR_CC_17Sep2022,Yes,Yes,n/a,Yes,No,photo,Yes,98,429,858,0,858,,
