SiteType,SiteID,CameraCaptures,Settings,TriggerID,trap_day,ImageFile1,Image1DateTime,ImageURL,ImageEmbedCode,ImageFile2,Image2DateTime,file_issues,species_detected,human_detected,individuals,detection_duration,notes
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_001,,10030001.JPG,2021:10:03 00:31:13,,,10030002.JPG,2021:10:03 00:31:14,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_002,,10030003.JPG,2021:10:03 00:32:09,,,10030004.JPG,2021:10:03 00:32:09,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_003,,10030005.JPG,2021:10:03 00:32:28,,,10030006.JPG,2021:10:03 00:32:28,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_004,,10030007.JPG,2021:10:03 00:33:49,,,10030008.JPG,2021:10:03 00:33:49,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_005,,10030009.JPG,2021:10:03 00:34:12,,,10030010.JPG,2021:10:03 00:34:12,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_006,,10030011.JPG,2021:10:03 00:34:30,,,10030012.JPG,2021:10:03 00:34:30,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_007,,10040013.JPG,2021:10:04 20:00:43,,,10040014.JPG,2021:10:04 20:00:43,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_008,,10050015.JPG,2021:10:05 21:22:48,,,10050016.JPG,2021:10:05 21:22:48,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_009,,10050017.JPG,2021:10:05 21:23:06,,,10050018.JPG,2021:10:05 21:23:06,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_010,,10050019.JPG,2021:10:05 21:23:24,,,10050020.JPG,2021:10:05 21:23:24,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_011,,10060021.JPG,2021:10:06 04:45:40,,,10060022.JPG,2021:10:06 04:45:40,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_012,,10070023.JPG,2021:10:07 20:01:29,,,10070024.JPG,2021:10:07 20:01:30,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_013,,10080025.JPG,2021:10:08 20:47:08,,,10080026.JPG,2021:10:08 20:47:09,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_014,,10080027.JPG,2021:10:08 22:05:36,,,10080028.JPG,2021:10:08 22:05:37,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_015,,10090029.JPG,2021:10:09 20:18:55,,,10090030.JPG,2021:10:09 20:18:56,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_016,,10100031.JPG,2021:10:10 21:01:14,,,10100032.JPG,2021:10:10 21:01:15,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_017,,10120033.JPG,2021:10:12 19:48:22,,,10120034.JPG,2021:10:12 19:48:23,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_018,,10130035.JPG,2021:10:13 20:01:02,,,10130036.JPG,2021:10:13 20:01:03,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_019,,10150037.JPG,2021:10:15 11:37:19,,,10150038.JPG,2021:10:15 11:37:19,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_020,,10150039.JPG,2021:10:15 11:37:52,,,10150040.JPG,2021:10:15 11:37:52,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_021,,10150041.JPG,2021:10:15 12:21:22,,,10150042.JPG,2021:10:15 12:21:23,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_022,,10160043.JPG,2021:10:16 05:14:36,,,10160044.JPG,2021:10:16 05:14:36,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_023,,10180045.JPG,2021:10:18 04:10:21,,,10180046.JPG,2021:10:18 04:10:21,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_024,,10220047.JPG,2021:10:22 23:31:02,,,10220048.JPG,2021:10:22 23:31:03,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_025,,10230049.JPG,2021:10:23 00:27:00,,,10230050.JPG,2021:10:23 00:27:01,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_026,,10230051.JPG,2021:10:23 19:43:12,,,10230052.JPG,2021:10:23 19:43:13,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_027,,10270053.JPG,2021:10:27 03:22:18,,,10270054.JPG,2021:10:27 03:22:19,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_028,,11120055.JPG,2021:11:12 02:19:57,,,11120056.JPG,2021:11:12 02:19:57,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_029,,11120057.JPG,2021:11:12 20:55:20,,,11120058.JPG,2021:11:12 20:55:20,,,yes,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_030,,11160059.JPG,2021:11:16 14:42:36,,,11160060.JPG,2021:11:16 14:42:37,,,no,,2,
outdoor,EC1,EC1_CC_01Dec2021,2 photos,EC1_CC_01Dec2021_031,,11240061.JPG,2021:11:24 13:21:24,,,11240062.JPG,2021:11:24 13:21:25,,,yes,,2,
