TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
DZ_CC_01Oct2022_DCIM0049,DCIM0049.JPG,2022:06:26 14:26:03,DCIM0050.JPG,2022:06:26 14:26:04,98725929,9858,26238,120329,15,2024-08-26 18:28:25 UTC,classification_count,2024-04-26 20:24:25 UTC,https://panoptes-uploads.zooniverse.org/subject_location/077a3b66-7ea7-4b49-bf79-ad0d02965c46.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/93fd9f7f-1197-4775-9a68-cd73ba07c193.jpeg,NOTHINGHERE,10,100,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0075,DCIM0075.JPG,2022:06:27 02:35:08,DCIM0076.JPG,2022:06:27 02:35:08,98725926,9858,26238,120329,15,2024-08-27 19:54:15 UTC,classification_count,2024-04-26 20:24:24 UTC,https://panoptes-uploads.zooniverse.org/subject_location/d380d899-55d2-4ffa-a72d-86100106e8a6.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/81957b06-9dba-4c22-8a7f-2370331b55b0.jpeg,RACCOON,7,63.64,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0103,DCIM0103.JPG,2022:06:27 07:30:42,DCIM0104.JPG,2022:06:27 07:30:42,98725932,9858,26238,120329,15,2024-08-28 14:20:09 UTC,classification_count,2024-04-26 20:24:26 UTC,https://panoptes-uploads.zooniverse.org/subject_location/ccd58b90-c1c1-4547-bc5d-63960d38c3d9.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/b1cc255f-743b-4577-b4dc-36b796b53296.jpeg,HUMANORVEHICLE,10,90.91,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0135,DCIM0135.JPG,2022:06:28 04:18:45,DCIM0136.JPG,2022:06:28 04:18:46,98725934,9858,26238,120329,15,2024-08-24 00:48:59 UTC,classification_count,2024-04-26 20:24:27 UTC,https://panoptes-uploads.zooniverse.org/subject_location/83e324e4-cd81-42c4-abeb-c37366c37816.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/91376de8-01d0-4b94-810f-41b5bf7aa0d6.jpeg,NOTHINGHERE,10,90.91,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0151,DCIM0151.JPG,2022:06:28 12:56:20,DCIM0152.JPG,2022:06:28 12:56:20,98725935,9858,26238,120329,16,2024-08-28 01:00:56 UTC,classification_count,2024-04-26 20:24:27 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8b1b9ac0-4c80-42f9-a920-15933144d648.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/3d231549-cb9d-43a5-807d-5f3fd0174d0d.jpeg,NOTHINGHERE,10,100,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0309,DCIM0309.JPG,2022:07:04 21:44:20,DCIM0310.JPG,2022:07:04 21:44:20,98725936,9858,26238,120329,15,2024-08-26 00:28:07 UTC,classification_count,2024-04-26 20:24:27 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a1d2c275-be4c-4cb7-a027-78469c918159.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/a6e6000e-751e-4911-b177-b74e4504cc7f.jpeg,PARTIALANIMAL,6,60,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0349,DCIM0349.JPG,2022:07:06 04:00:04,DCIM0350.JPG,2022:07:06 04:00:05,98725942,9858,26238,120329,15,2024-08-27 19:18:57 UTC,classification_count,2024-04-26 20:24:31 UTC,https://panoptes-uploads.zooniverse.org/subject_location/550d009d-4f23-4840-bda9-62b5c55fbc0a.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/38c15f3e-8e1f-494b-8af4-100cd85fdbeb.jpeg,PARTIALANIMAL,6,60,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0357,DCIM0357.JPG,2022:07:06 14:48:41,DCIM0358.JPG,2022:07:06 14:48:41,98725944,9858,26238,120329,15,2024-08-27 18:13:23 UTC,classification_count,2024-04-26 20:24:32 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8ce9ab6f-f0ed-4be6-9765-cd2cc70c1779.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/b6cd5938-8df3-48a4-a526-cf3f399e8797.jpeg,OTHERBIRD,8,80,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0411,DCIM0411.JPG,2022:07:07 10:49:37,DCIM0412.JPG,2022:07:07 10:49:38,98725945,9858,26238,120329,15,2024-08-28 17:25:50 UTC,classification_count,2024-04-26 20:24:32 UTC,https://panoptes-uploads.zooniverse.org/subject_location/5c1c499c-640a-42dc-b59d-bfc3d6b717b8.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/fb8175ad-67ed-46c1-ba4f-3bbdd797665a.jpeg,DOMESTICCAT,9,90,DZ_CC_01Oct2022
DZ_CC_01Oct2022_DCIM0425,DCIM0425.JPG,2022:07:07 19:40:11,DCIM0426.JPG,2022:07:07 19:40:12,98725946,9858,26238,120329,15,2024-08-27 17:55:42 UTC,classification_count,2024-04-26 20:24:32 UTC,https://panoptes-uploads.zooniverse.org/subject_location/4146e469-5b6a-4735-8e35-f96809ee3fb4.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/8a1a72ef-53c5-44f2-a484-870148e57f44.jpeg,NOTHINGHERE,10,100,DZ_CC_01Oct2022
