TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
EC1_CC_02Aug2021_nodg_06080499,06080499.JPG,2021:06:08 15:52:05,06080500.JPG,2021:06:08 15:54:08,98727430,9858,26238,120334,15,2024-08-28 15:17:25 UTC,classification_count,2024-04-26 20:51:13 UTC,https://panoptes-uploads.zooniverse.org/subject_location/51f2fb10-5a14-4c27-9977-6f2cec1a4940.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/bffc2465-cb20-4819-8a87-3ee04311e90c.jpeg,GRAYFOX,6,60,EC1_CC_02Aug2021
EC1_CC_02Aug2021_nodg_05250210,05250210.JPG,2021:05:25 19:50:08,05250210b.JPG,2021:05:25 19:50:08,97984760,9858,26238,119688,15,2024-08-27 00:36:39 UTC,classification_count,2024-03-27 19:14:01 UTC,https://panoptes-uploads.zooniverse.org/subject_location/fa96956e-96ed-46e7-9d73-0ecf01b89e2b.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/cd052c84-276d-4af4-a7ce-9013efa4e901.jpeg,NOTHINGHERE,6,60,EC1_CC_02Aug2021
EC1_CC_02Aug2021_nodg_06010276,06010276.JPG,2021:06:01 07:40:52,06010276b.JPG,2021:06:01 07:40:52,97984759,9858,26238,119688,15,2024-08-26 17:35:26 UTC,classification_count,2024-03-27 19:13:59 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a3f1c505-6075-45b8-b596-cb3d9ffc73b6.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/c687bcd9-264e-4241-838b-20b2f1fee9b2.jpeg,NOTHINGHERE,7,70,EC1_CC_02Aug2021
EC1_CC_02Aug2021_nodg_06070443,06070443.JPG,2021:06:07 22:10:31,06070443b.JPG,2021:06:07 22:10:31,97984761,9858,26238,119688,15,2024-08-26 11:08:37 UTC,classification_count,2024-03-27 19:14:01 UTC,https://panoptes-uploads.zooniverse.org/subject_location/ba0fb4dd-d5e9-4b45-b618-a79afb349452.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/e57a2c59-9ad1-4868-a1f2-aff773a0e445.jpeg,GRAYFOX,4,40,EC1_CC_02Aug2021
EC1_CC_02Aug2021_nodg_06190653,06190653.JPG,2021:06:19 04:38:58,06190653b.JPG,2021:06:19 04:38:58,97984762,9858,26238,119688,15,2024-08-25 14:49:59 UTC,classification_count,2024-03-27 19:14:01 UTC,https://panoptes-uploads.zooniverse.org/subject_location/748bf08a-4eff-4ce2-b2f4-2dd22e32a8f2.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/caefa0d5-80a1-4bca-af80-515c0eb46a78.jpeg,GRAYFOX,8,80,EC1_CC_02Aug2021
EC1_CC_02Aug2021_nodg_06260860,06260860.JPG,2021:06:26 07:09:18,06260861.JPG,2021:06:26 07:09:32,97984763,9858,26238,119688,15,2024-08-27 19:34:51 UTC,classification_count,2024-03-27 19:14:01 UTC,https://panoptes-uploads.zooniverse.org/subject_location/10a16959-aaa9-4ce8-bcbb-91dfc46a46a7.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/acef9250-8738-454e-bce2-cd0ddce59f4e.jpeg,GRAYFOX,8,80,EC1_CC_02Aug2021
EC1_CC_02Aug2021_nodg_07230050,07230050.JPG,2021:07:23 10:30:16,07230051.JPG,2021:07:23 10:30:27,97984764,9858,26238,119688,15,2024-08-28 04:23:06 UTC,classification_count,2024-03-27 19:14:02 UTC,https://panoptes-uploads.zooniverse.org/subject_location/3eb6261f-db29-4f96-ad0b-2484d83c292c.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/f10fdada-78aa-43e0-9b20-90b5176e343f.jpeg,GRAYFOX,6,60,EC1_CC_02Aug2021
EC1_CC_02Aug2021_nodg_07260066,07260066.JPG,2021:07:26 07:18:01,07260066b.JPG,2021:07:26 07:18:01,97984765,9858,26238,119688,15,2024-08-26 23:14:32 UTC,classification_count,2024-03-27 19:14:07 UTC,https://panoptes-uploads.zooniverse.org/subject_location/c884f314-8606-474f-9b76-ab2a88f5e0a5.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/0a67549f-c882-4999-a767-9431087e4719.jpeg,BLACKTAILEDJACKRABBIT,9,90,EC1_CC_02Aug2021
EC1_CC_02Aug2021_nodg_07260068,07260068.JPG,2021:07:26 13:06:38,07260068b.JPG,2021:07:26 13:06:38,97984766,9858,26238,119688,15,2024-08-26 19:40:19 UTC,classification_count,2024-03-27 19:14:07 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8b35b74d-63a0-405f-bce1-6fa05eb2ac8a.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/3af95ca1-45a2-4f31-b033-81b39d2e7dc7.jpeg,GRAYFOX,6,60,EC1_CC_02Aug2021
EC1_CC_02Oct2022_100EK001_06290115,100EK001_06290115.JPG,2022:06:29 09:18:02,100EK001_06290116.JPG,2022:06:29 09:18:02,97984824,9858,23895,121951,15,2024-08-13 10:00:07 UTC,classification_count,2024-03-27 19:55:27 UTC,https://panoptes-uploads.zooniverse.org/subject_location/e017185e-8a92-4bb6-974a-ad9d75371d4b.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/024a61ad-1fd1-4f01-a88e-334580c127b0.jpeg,WHIPTAILTIGER,6,40,EC1_CC_02Oct2022
EC1_CC_02Oct2022_100EK001_07010157,100EK001_07010157.JPG,2022:07:01 09:14:52,100EK001_07010158.JPG,2022:07:01 09:14:52,97984845,9858,23895,121951,15,2024-08-08 20:40:34 UTC,classification_count,2024-03-27 19:55:52 UTC,https://panoptes-uploads.zooniverse.org/subject_location/59d82a12-4c7d-4202-87ae-83e71837b521.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/8731476b-4192-4dda-83f1-b04f203940ec.jpeg,WHIPTAILTIGER,6,40,EC1_CC_02Oct2022
EC1_CC_02Oct2022_100EK001_07090649,100EK001_07090649.JPG,2022:07:09 17:59:04,100EK001_07090650.JPG,2022:07:09 17:59:05,97985187,9858,23895,121951,15,2024-08-13 18:30:24 UTC,classification_count,2024-03-27 20:05:28 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8f0d8620-9c9a-4df9-82a2-50e24cdf5aa7.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/a2f4afb8-585c-4fdb-bb00-d42e7cf7cc8e.jpeg,NOTHINGHERE,5,33.33,EC1_CC_02Oct2022
EC1_CC_02Oct2022_101EK001_07240108,101EK001_07240108.JPG,2022:07:24 08:35:44,101EK001_07240109.JPG,2022:07:24 08:35:45,97985416,9858,23895,121951,15,2024-08-13 18:14:03 UTC,classification_count,2024-03-27 20:10:08 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a9915f7e-e374-4c31-aaaa-9b2ab99c5747.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/18ac732e-b011-4dbb-ba49-73efdd1635e8.jpeg,NOTHINGHERE,4,26.67,EC1_CC_02Oct2022
EC1_CC_02Oct2022_101EK001_08080288,101EK001_08080288.JPG,2022:08:08 10:19:27,101EK001_08080289.JPG,2022:08:08 10:19:27,97985506,9858,23895,121951,15,2024-08-14 17:04:49 UTC,classification_count,2024-03-27 20:11:56 UTC,https://panoptes-uploads.zooniverse.org/subject_location/78a55338-91f3-4742-a487-0b559ccfcc11.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/b9e27352-97d1-4e45-af7e-0f9fe29b10c8.jpeg,WHIPTAILTIGER,6,40,EC1_CC_02Oct2022
EC1_CC_02Oct2022_101EK001_08080288,101EK001_08080288.JPG,2022:08:08 10:19:27,101EK001_08080289.JPG,2022:08:08 10:19:27,97985506,9858,23895,121951,15,2024-08-14 17:04:49 UTC,classification_count,2024-03-27 20:11:56 UTC,https://panoptes-uploads.zooniverse.org/subject_location/78a55338-91f3-4742-a487-0b559ccfcc11.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/b9e27352-97d1-4e45-af7e-0f9fe29b10c8.jpeg,FENCELIZARDPLATEAU,1,NA,EC1_CC_02Oct2022
EC1_CC_02Oct2022_101EK001_08200324,101EK001_08200324.JPG,2022:08:20 12:44:43,101EK001_08200325.JPG,2022:08:20 12:44:44,97985526,9858,23895,121951,15,2024-08-14 05:21:31 UTC,classification_count,2024-03-27 20:12:23 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a1b0d744-45a9-4152-8ed5-81de97f95850.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/3f6c1759-eff6-49be-96d4-8d4099875ded.jpeg,WHIPTAILTIGER,6,40,EC1_CC_02Oct2022
EC1_CC_02Oct2022_101EK001_08210338,101EK001_08210338.JPG,2022:08:21 11:34:52,101EK001_08210339.JPG,2022:08:21 11:34:52,97985531,9858,23895,121951,15,2024-08-14 13:38:52 UTC,classification_count,2024-03-27 20:12:28 UTC,https://panoptes-uploads.zooniverse.org/subject_location/dfab86e6-22c4-4584-a37c-9971768c79a6.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/c05dea10-8eb5-4508-8369-c47457f2169f.jpeg,LIZARDLONGNOSEDLEOPARD,7,46.67,EC1_CC_02Oct2022
EC1_CC_02Oct2022_101EK001_08250358,101EK001_08250358.JPG,2022:08:25 17:17:52,101EK001_08250359.JPG,2022:08:25 17:17:52,97985541,9858,23895,121951,15,2024-08-09 21:10:56 UTC,classification_count,2024-03-27 20:12:40 UTC,https://panoptes-uploads.zooniverse.org/subject_location/40520ea8-021c-47f0-8436-f6208b4a8924.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/5cba0123-0e78-46c0-a2a4-1749821f2680.jpeg,NOTHINGHERE,4,26.67,EC1_CC_02Oct2022
