TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
GCBAR_CC_07Mar2022_01080011_frame1,01080011_frame_101.png,1/8/2022 3:51,01080011_frame_102.png,1/8/2022 3:51,99765336,9858,26731,120968,10,2024-06-21 20:24:13 UTC,classification_count,2024-06-04 13:44:23 UTC,https://panoptes-uploads.zooniverse.org/subject_location/fcdc8cda-2386-450a-8ebc-ccd34d9ef8c5.png,https://panoptes-uploads.zooniverse.org/subject_location/a1e695ad-0a81-4119-b958-2951a55abd1f.png,NOTHINGHERE,10,100,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01090012_frame1,01090012_frame_101.png,1/9/2022 3:11,01090012_frame_102.png,1/9/2022 3:11,99765337,9858,26731,120968,10,2024-06-16 19:34:58 UTC,classification_count,2024-06-04 13:44:24 UTC,https://panoptes-uploads.zooniverse.org/subject_location/2daf22f4-761d-48fe-9b4d-b93bcea26c79.png,https://panoptes-uploads.zooniverse.org/subject_location/6f33f7db-fc58-4091-ae3a-493ada8747fe.png,NOTHINGHERE,9,90,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01250014_frame1,01250014_frame_101.png,1/25/2022 6:55,01250014_frame_102.png,1/25/2022 6:55,99765338,9858,26731,120968,10,2024-06-21 14:57:55 UTC,classification_count,2024-06-04 13:44:24 UTC,https://panoptes-uploads.zooniverse.org/subject_location/1d67e352-e7ee-44d9-bed9-dc3df5c8a07a.png,https://panoptes-uploads.zooniverse.org/subject_location/0ca8c179-5c8d-4531-8a7f-63fee40ba8d0.png,NOTHINGHERE,9,90,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01250015_frame1,01250015_frame_101.png,1/25/2022 6:56,01250015_frame_102.png,1/25/2022 6:56,99765339,9858,26731,120968,10,2024-06-18 20:31:50 UTC,classification_count,2024-06-04 13:44:24 UTC,https://panoptes-uploads.zooniverse.org/subject_location/789c4362-4dce-4636-bbb4-64b710d3f07e.png,https://panoptes-uploads.zooniverse.org/subject_location/d86c3ec6-55d9-46e3-afe1-0df0ea56d78f.png,NOTHINGHERE,8,80,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01250016_frame1,01250016_frame_101.png,1/25/2022 6:57,01250016_frame_102.png,1/25/2022 6:57,99765340,9858,26731,120968,10,2024-06-18 14:10:00 UTC,classification_count,2024-06-04 13:44:28 UTC,https://panoptes-uploads.zooniverse.org/subject_location/3df4a9eb-7af3-4bc0-857e-a1582be0d4eb.png,https://panoptes-uploads.zooniverse.org/subject_location/26b211e7-256c-4707-bf28-f29559d2d2fd.png,DEERMOUSE,10,100,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01250017_frame1,01250017_frame_101.png,1/25/2022 6:57,01250017_frame_102.png,1/25/2022 6:57,99765341,9858,26731,120968,10,2024-06-21 20:11:32 UTC,classification_count,2024-06-04 13:44:28 UTC,https://panoptes-uploads.zooniverse.org/subject_location/b340030f-08cf-4a45-bf8f-cf043d209691.png,https://panoptes-uploads.zooniverse.org/subject_location/925a9d31-589a-409a-b593-053c31f4fa61.png,NOTHINGHERE,10,100,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01260018_frame1,01260018_frame_101.png,1/26/2022 2:33,01260018_frame_102.png,1/26/2022 2:33,99765342,9858,26731,120968,10,2024-06-21 14:56:12 UTC,classification_count,2024-06-04 13:44:29 UTC,https://panoptes-uploads.zooniverse.org/subject_location/148c2952-594a-4845-b25a-c214545fa81a.png,https://panoptes-uploads.zooniverse.org/subject_location/40a25df8-a9d3-446b-ab20-f0567d6c8af1.png,NOTHINGHERE,8,80,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01270019_frame1,01270019_frame_101.png,1/27/2022 23:56,01270019_frame_102.png,1/27/2022 23:56,99765343,9858,26731,120968,10,2024-06-24 18:54:16 UTC,classification_count,2024-06-04 13:44:29 UTC,https://panoptes-uploads.zooniverse.org/subject_location/cb80b910-ae63-4bc4-969c-0787b4400a13.png,https://panoptes-uploads.zooniverse.org/subject_location/fad5d82e-95b3-4a93-9d78-b62d0cdb341d.png,NOTHINGHERE,9,90,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01280020_frame1,01280020_frame_101.png,1/28/2022 1:02,01280020_frame_102.png,1/28/2022 1:02,99765344,9858,26731,120968,10,2024-06-20 06:36:06 UTC,classification_count,2024-06-04 13:44:32 UTC,https://panoptes-uploads.zooniverse.org/subject_location/dbffbc5b-6872-41b2-9a19-7631fc362e7a.png,https://panoptes-uploads.zooniverse.org/subject_location/11a51ca4-994f-40a1-9ef3-f5a023f3ba7b.png,NOTHINGHERE,8,80,GCBAR_CC_07Mar2022
GCBAR_CC_07Mar2022_01280021_frame1,01280021_frame_101.png,1/28/2022 1:03,01280021_frame_102.png,1/28/2022 1:03,99765345,9858,26731,120968,10,2024-06-17 02:18:49 UTC,classification_count,2024-06-04 13:44:34 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a9579da6-7253-4db3-b16d-f0a75662fb96.png,https://panoptes-uploads.zooniverse.org/subject_location/b10342bd-334f-40c4-9356-f0c5d7f98430.png,NOTHINGHERE,9,90,GCBAR_CC_07Mar2022
