TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
GCBB_CC_12Sep2021_DCIM0013,DCIM0013.JPG,2021:08:04 07:43:05,DCIM0014.JPG,2021:08:04 07:43:06,98197947,9858,26238,119883,15,2024-08-26 18:03:29 UTC,classification_count,2024-04-11 15:51:11 UTC,https://panoptes-uploads.zooniverse.org/subject_location/92bee8f1-bf8b-4ebb-a286-2937d7f5eb25.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/99ee9408-09a0-47a6-aab3-5b85b91c9f0a.jpeg,PARTIALANIMAL,8,72.73,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0016,DCIM0016.JPG,2021:08:04 07:44:06,DCIM0017.JPG,2021:08:04 07:44:07,98197948,9858,26238,119883,15,2024-08-27 17:35:53 UTC,classification_count,2024-04-11 15:51:13 UTC,https://panoptes-uploads.zooniverse.org/subject_location/20e69e0b-2dcf-4921-b3a3-56673b51fe07.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/b605ba37-4d11-4655-91d0-1a8bdbaafb40.jpeg,ROCKSQUIRREL,9,90,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0019,DCIM0019.JPG,2021:08:04 07:44:38,DCIM0020.JPG,2021:08:04 07:44:38,98197949,9858,26238,119883,15,2024-08-27 11:18:25 UTC,classification_count,2024-04-11 15:51:13 UTC,https://panoptes-uploads.zooniverse.org/subject_location/0e98276d-2141-4054-ad4e-155eccad5a82.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/2e9ff967-29c0-44e2-a87f-ab63499a65d9.jpeg,PARTIALANIMAL,9,90,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0022,DCIM0022.JPG,2021:08:04 08:55:13,DCIM0023.JPG,2021:08:04 08:55:13,98197950,9858,26238,119883,15,2024-08-26 15:01:59 UTC,classification_count,2024-04-11 15:51:18 UTC,https://panoptes-uploads.zooniverse.org/subject_location/5de47d5b-1a81-4bbb-8637-8624d84e85bc.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/714cf1ee-5f99-4372-a5f4-935195fbb321.jpeg,ROCKSQUIRREL,7,70,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0025,DCIM0025.JPG,2021:08:04 08:55:55,DCIM0026.JPG,2021:08:04 08:55:55,98197951,9858,26238,119883,15,2024-08-25 14:27:49 UTC,classification_count,2024-04-11 15:51:18 UTC,https://panoptes-uploads.zooniverse.org/subject_location/9764a34b-76d2-4ce4-b934-534cd54c252d.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/357aaaf7-c87e-4d46-9d74-8681552a4e35.jpeg,PARTIALANIMAL,6,60,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0031,DCIM0031.JPG,2021:08:04 09:02:58,DCIM0032.JPG,2021:08:04 09:02:58,98197952,9858,26238,119883,15,2024-08-26 18:19:06 UTC,classification_count,2024-04-11 15:51:18 UTC,https://panoptes-uploads.zooniverse.org/subject_location/f67df1e4-a0c2-4576-b9f8-ce5b9540aeb3.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/73fa6d6b-cbfa-4070-894d-70ade0929eb9.jpeg,NOTHINGHERE,9,90,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0043,DCIM0043.JPG,2021:08:04 09:18:53,DCIM0044.JPG,2021:08:04 09:18:53,98197953,9858,26238,119883,15,2024-08-26 12:12:06 UTC,classification_count,2024-04-11 15:51:18 UTC,https://panoptes-uploads.zooniverse.org/subject_location/9a344b34-f7f1-4b84-8e7c-b39df25df7d1.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/e327e915-303e-4cd7-a100-e97090b4a6dc.jpeg,NOTHINGHERE,10,100,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0052,DCIM0052.JPG,2021:08:05 07:55:05,DCIM0053.JPG,2021:08:05 07:55:05,98197954,9858,26238,119883,15,2024-08-27 18:59:16 UTC,classification_count,2024-04-11 15:51:18 UTC,https://panoptes-uploads.zooniverse.org/subject_location/d139cc22-542d-45de-9747-a92b367fc0fe.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/0925f015-841b-490b-9548-25e355cfba51.jpeg,ROCKSQUIRREL,5,50,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0058,DCIM0058.JPG,2021:08:05 09:35:44,DCIM0059.JPG,2021:08:05 09:35:44,98197955,9858,26238,119883,15,2024-08-27 19:38:05 UTC,classification_count,2024-04-11 15:51:25 UTC,https://panoptes-uploads.zooniverse.org/subject_location/64ea5ffc-295d-46a4-983a-1d53319f1475.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/5caa6c37-c039-4f3e-92c1-1f5469726dca.jpeg,NOTHINGHERE,10,100,GCBB_CC_12Sep2021
GCBB_CC_12Sep2021_DCIM0061,DCIM0061.JPG,2021:08:06 04:37:11,DCIM0062.JPG,2021:08:06 04:37:12,98197956,9858,26238,119883,15,2024-08-28 17:55:04 UTC,classification_count,2024-04-11 15:51:26 UTC,https://panoptes-uploads.zooniverse.org/subject_location/fab31202-0370-44f5-9f78-3367f7878803.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/ac411ebe-fde0-4850-9015-84fe19485ec7.jpeg,DEERMOUSE,6,60,GCBB_CC_12Sep2021
