TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
GCBH_CC_09Mar2022_01040060_frame1,01040060_frame_101.png,1/4/2022 16:03,01040060_frame_102.png,1/4/2022 16:03,99781853,9858,26731,120974,10,2024-06-24 19:23:00 UTC,classification_count,2024-06-05 14:44:04 UTC,https://panoptes-uploads.zooniverse.org/subject_location/23c927de-6c9a-42af-bb03-17d24b20e103.png,https://panoptes-uploads.zooniverse.org/subject_location/a3cfe287-7bc7-4ae3-899b-60236423754c.png,DEERMOUSE,6,60,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01060062_frame1,01060062_frame_101.png,1/7/2022 1:03,01060062_frame_102.png,1/7/2022 1:03,99781854,9858,26731,120974,10,2024-06-25 12:23:09 UTC,classification_count,2024-06-05 14:44:05 UTC,https://panoptes-uploads.zooniverse.org/subject_location/bc5880f6-c101-4027-83eb-9d0b49c00989.png,https://panoptes-uploads.zooniverse.org/subject_location/bf28fb65-b125-4018-bedb-c28142223f15.png,NOTHINGHERE,9,90,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01070064_frame1,01070064_frame_101.png,1/7/2022 20:14,01070064_frame_102.png,1/7/2022 20:14,99781855,9858,26731,120974,10,2024-06-25 20:37:42 UTC,classification_count,2024-06-05 14:44:05 UTC,https://panoptes-uploads.zooniverse.org/subject_location/52ac0b2c-0465-4cfd-b010-b39e5da6fa1b.png,https://panoptes-uploads.zooniverse.org/subject_location/e12841fb-8bbd-4144-a295-b5a9ea5eb556.png,DEERMOUSE,9,90,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01080065_frame1,01080065_frame_101.png,1/8/2022 5:01,01080065_frame_102.png,1/8/2022 5:01,99781856,9858,26731,120974,10,2024-06-24 20:57:56 UTC,classification_count,2024-06-05 14:44:05 UTC,https://panoptes-uploads.zooniverse.org/subject_location/7a15a33e-ddbd-4401-b8a7-9bb9b162a7f8.png,https://panoptes-uploads.zooniverse.org/subject_location/531d329b-9d10-406b-a925-58631d41189b.png,DEERMOUSE,6,60,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01080066_frame1,01080066_frame_101.png,1/8/2022 5:29,01080066_frame_102.png,1/8/2022 5:29,99781857,9858,26731,120974,10,2024-06-24 15:54:20 UTC,classification_count,2024-06-05 14:44:06 UTC,https://panoptes-uploads.zooniverse.org/subject_location/6b69b122-018b-4ba7-a10a-a117cc5a01e2.png,https://panoptes-uploads.zooniverse.org/subject_location/62fa4beb-fd0a-4aee-8258-1a90a7ee78b7.png,DEERMOUSE,10,100,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01080067_frame1,01080067_frame_101.png,1/8/2022 5:30,01080067_frame_102.png,1/8/2022 5:30,99781858,9858,26731,120974,10,2024-06-25 19:52:57 UTC,classification_count,2024-06-05 14:44:06 UTC,https://panoptes-uploads.zooniverse.org/subject_location/b29e7c5c-6fee-42cb-be1b-2333c5c04de6.png,https://panoptes-uploads.zooniverse.org/subject_location/05752e55-9081-4a7b-8701-9f73956ed1aa.png,NOTHINGHERE,9,90,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01080068_frame1,01080068_frame_101.png,1/8/2022 5:56,01080068_frame_102.png,1/8/2022 5:56,99781859,9858,26731,120974,10,2024-06-26 03:49:51 UTC,classification_count,2024-06-05 14:44:10 UTC,https://panoptes-uploads.zooniverse.org/subject_location/1c68a369-5bb6-48d5-bc3a-cf3e683076d4.png,https://panoptes-uploads.zooniverse.org/subject_location/c55002ac-088b-49e1-949d-c8388651b6ee.png,NOTHINGHERE,9,90,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01080069_frame1,01080069_frame_101.png,1/8/2022 5:57,01080069_frame_102.png,1/8/2022 5:57,99781860,9858,26731,120974,10,2024-06-24 15:47:46 UTC,classification_count,2024-06-05 14:44:12 UTC,https://panoptes-uploads.zooniverse.org/subject_location/225b51b3-ffc1-456a-9d3f-7b610e30e3a7.png,https://panoptes-uploads.zooniverse.org/subject_location/65b29b27-40e6-492e-a268-63c45c08a122.png,DEERMOUSE,7,70,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01080070_frame1,01080070_frame_101.png,1/8/2022 23:22,01080070_frame_102.png,1/8/2022 23:22,99781861,9858,26731,120974,10,2024-06-23 04:33:04 UTC,classification_count,2024-06-05 14:44:13 UTC,https://panoptes-uploads.zooniverse.org/subject_location/27c5f4a0-4058-4a0d-b3b3-41ba9a10a83d.png,https://panoptes-uploads.zooniverse.org/subject_location/be364e07-010f-486b-855b-4b66cc0f0112.png,NOTHINGHERE,9,90,GCBH_CC_09Mar2022
GCBH_CC_09Mar2022_01090071_frame1,01090071_frame_101.png,1/9/2022 2:49,01090071_frame_102.png,1/9/2022 2:49,99781862,9858,26731,120974,10,2024-06-23 19:45:07 UTC,classification_count,2024-06-05 14:44:13 UTC,https://panoptes-uploads.zooniverse.org/subject_location/88435393-d30d-4411-9f82-438dd9af078f.png,https://panoptes-uploads.zooniverse.org/subject_location/77716d81-84a9-40a3-8563-d24fdb37404f.png,DEERMOUSE,8,80,GCBH_CC_09Mar2022
