TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
GCETRO_CC_06Dec2021_09150005_frame1,09150005_frame_101.png,9/15/2021 8:52,09150005_frame_102.png,9/15/2021 8:52,99801056,9858,26731,120986,10,2024-06-26 05:01:41 UTC,classification_count,2024-06-06 03:05:55 UTC,https://panoptes-uploads.zooniverse.org/subject_location/7fd00456-3244-48ee-bdba-7c88ad95e446.png,https://panoptes-uploads.zooniverse.org/subject_location/13643234-3268-444a-8cf7-28b791fdfb5d.png,RINGTAIL,6,60,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_09160006_frame1,09160006_frame_101.png,9/16/2021 9:14,09160006_frame_102.png,9/16/2021 9:14,99801057,9858,26731,120986,10,2024-06-25 15:12:47 UTC,classification_count,2024-06-06 03:05:56 UTC,https://panoptes-uploads.zooniverse.org/subject_location/46497d7f-a31f-4feb-83fe-c11b797e2cb0.png,https://panoptes-uploads.zooniverse.org/subject_location/96a2f02e-149c-4f3a-a791-144d045979e2.png,RINGTAIL,4,40,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_09200014_frame1,09200014_frame_101.png,9/21/2021 7:19,09200014_frame_102.png,9/21/2021 7:19,99801059,9858,26731,120986,10,2024-06-23 18:24:32 UTC,classification_count,2024-06-06 03:05:56 UTC,https://panoptes-uploads.zooniverse.org/subject_location/9e870910-d912-452e-9b27-6f5685c884b2.png,https://panoptes-uploads.zooniverse.org/subject_location/7a6352e5-5a5a-4347-b893-954b6940e730.png,RINGTAIL,6,60,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_09210016_frame1,09210016_frame_101.png,9/21/2021 8:51,09210016_frame_102.png,9/21/2021 8:51,99801060,9858,26731,120986,10,2024-06-25 16:46:22 UTC,classification_count,2024-06-06 03:05:57 UTC,https://panoptes-uploads.zooniverse.org/subject_location/9d665403-2ced-40e8-ace6-98b095726fdf.png,https://panoptes-uploads.zooniverse.org/subject_location/2e069a64-7422-479d-b915-7ef9e13a5dc3.png,RINGTAIL,7,70,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_09240030_frame1,09240030_frame_101.png,9/24/2021 9:24,09240030_frame_102.png,9/24/2021 9:24,99801065,9858,26731,120986,10,2024-06-22 15:38:50 UTC,classification_count,2024-06-06 03:06:19 UTC,https://panoptes-uploads.zooniverse.org/subject_location/76f0a082-d879-49da-8b1d-c4be16bdade0.png,https://panoptes-uploads.zooniverse.org/subject_location/5dfcbc76-6011-437c-aaa2-93a78a672f0f.png,RINGTAIL,4,40,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_09290039_frame1,09290039_frame_101.png,9/29/2021 9:57,09290039_frame_102.png,9/29/2021 9:57,99801070,9858,26731,120986,10,2024-06-21 20:11:04 UTC,classification_count,2024-06-06 03:06:43 UTC,https://panoptes-uploads.zooniverse.org/subject_location/18c36217-74bf-428a-9edd-32fbfabb3101.png,https://panoptes-uploads.zooniverse.org/subject_location/422557e5-79d4-4ebf-9527-148f53b7b47c.png,RINGTAIL,7,70,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_10090051_frame1,10090051_frame_101.png,10/10/2021 2:39,10090051_frame_102.png,10/10/2021 2:39,99801071,9858,26731,120986,10,2024-06-22 13:46:19 UTC,classification_count,2024-06-06 03:06:45 UTC,https://panoptes-uploads.zooniverse.org/subject_location/212ad544-dd72-48eb-a203-4929a7bcdf32.png,https://panoptes-uploads.zooniverse.org/subject_location/986908a6-6bf9-4df4-855e-f426b9901058.png,NOTHINGHERE,7,70,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_10100052_frame1,10100052_frame_101.png,10/10/2021 9:46,10100052_frame_102.png,10/10/2021 9:46,99801072,9858,26731,120986,10,2024-06-22 17:21:15 UTC,classification_count,2024-06-06 03:06:55 UTC,https://panoptes-uploads.zooniverse.org/subject_location/cd3fc841-398f-43cf-b178-8588e10ba141.png,https://panoptes-uploads.zooniverse.org/subject_location/3f2af9ad-f50c-4c07-9fd6-af5cdf03a1f1.png,PARTIALANIMAL,8,80,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_10220070_frame1,10220070_frame_101.png,10/23/2021 6:18,10220070_frame_102.png,10/23/2021 6:18,99801073,9858,26731,120986,10,2024-06-25 20:07:19 UTC,classification_count,2024-06-06 03:06:59 UTC,https://panoptes-uploads.zooniverse.org/subject_location/299f07fe-dcee-4514-bea2-e9720ead24be.png,https://panoptes-uploads.zooniverse.org/subject_location/cce22fa3-d42d-4fac-8aa5-2385283ff13b.png,PARTIALANIMAL,6,60,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_10230071_frame1,10230071_frame_101.png,10/23/2021 11:45,10230071_frame_102.png,10/23/2021 11:45,99801074,9858,26731,120986,10,2024-06-23 14:31:14 UTC,classification_count,2024-06-06 03:07:00 UTC,https://panoptes-uploads.zooniverse.org/subject_location/d8f1ab24-3c99-4b0b-8a97-3f5ef1c76235.png,https://panoptes-uploads.zooniverse.org/subject_location/cdc4a17e-6ff8-4238-9d59-f5f9331b52b0.png,NOTHINGHERE,3,30,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_11070077_frame1,11070077_frame_101.png,11/8/2021 0:54,11070077_frame_102.png,11/8/2021 0:54,99801075,9858,26731,120986,10,2024-06-21 21:01:50 UTC,classification_count,2024-06-06 03:07:02 UTC,https://panoptes-uploads.zooniverse.org/subject_location/3cfc152f-207d-4ea2-aad4-696fd767adaf.png,https://panoptes-uploads.zooniverse.org/subject_location/ba2e7ef2-c098-44a3-ac22-c0ae3fd217c4.png,RINGTAIL,7,70,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_11100084_frame1,11100084_frame_101.png,11/11/2021 6:08,11100084_frame_102.png,11/11/2021 6:08,99801076,9858,26731,120986,10,2024-06-23 03:40:41 UTC,classification_count,2024-06-06 03:07:03 UTC,https://panoptes-uploads.zooniverse.org/subject_location/ca92e795-ab52-4774-893f-1fdcaa37c306.png,https://panoptes-uploads.zooniverse.org/subject_location/8c824f9c-69b1-48a2-84fe-cc6e75ca0682.png,PARTIALANIMAL,5,50,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_11220098_frame1,11220098_frame_101.png,11/22/2021 8:53,11220098_frame_102.png,11/22/2021 8:53,99801077,9858,26731,120986,10,2024-06-22 15:14:00 UTC,classification_count,2024-06-06 03:07:14 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a68c86e1-eab9-4ded-9148-7a866f105d2b.png,https://panoptes-uploads.zooniverse.org/subject_location/512b167a-a5ad-4fd8-9dcc-eb09475fc499.png,RINGTAIL,7,70,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_11240099_frame1,11240099_frame_101.png,12/17/2021 16:02,11240099_frame_102.png,12/17/2021 16:02,99801078,9858,26731,120986,10,2024-06-25 21:25:23 UTC,classification_count,2024-06-06 03:07:17 UTC,https://panoptes-uploads.zooniverse.org/subject_location/c1f4317f-14da-43a6-900a-d1b98621906d.png,https://panoptes-uploads.zooniverse.org/subject_location/c2d17ccf-64c7-4c5d-be66-dcdd402f43f7.png,PARTIALANIMAL,9,90,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_11250108_frame1,11250108_frame_101.png,11/26/2021 6:02,11250108_frame_102.png,11/26/2021 6:02,99801079,9858,26731,120986,10,2024-06-24 18:22:04 UTC,classification_count,2024-06-06 03:07:17 UTC,https://panoptes-uploads.zooniverse.org/subject_location/5f34ad45-e501-46b9-b48e-d8363918e41a.png,https://panoptes-uploads.zooniverse.org/subject_location/bb289972-a36c-4477-84f7-0790618e73a0.png,PARTIALANIMAL,5,50,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_11300114_frame1,11300114_frame_101.png,11/30/2021 7:12,11300114_frame_102.png,11/30/2021 7:12,99801082,9858,26731,120986,10,2024-06-25 22:07:33 UTC,classification_count,2024-06-06 03:07:31 UTC,https://panoptes-uploads.zooniverse.org/subject_location/b880645d-fa7a-40bd-afbe-991533fdc3fd.png,https://panoptes-uploads.zooniverse.org/subject_location/23c27226-6212-4239-8d00-59ff5bd15eec.png,RINGTAIL,9,90,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_12060132_frame1,12060132_frame_101.png,12/6/2021 10:55,12060132_frame_102.png,12/6/2021 10:55,99801094,9858,26731,120986,10,2024-06-22 20:07:23 UTC,classification_count,2024-06-06 03:08:09 UTC,https://panoptes-uploads.zooniverse.org/subject_location/96308130-0246-4f14-ade4-c7bdb393f8a8.png,https://panoptes-uploads.zooniverse.org/subject_location/62fd4915-4900-45ac-a93c-1ab0dbd53848.png,PARTIALANIMAL,8,80,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_09210015_frame_2,09210015_frame_201.png,9/21/2021 8:10,09210015_frame_202.png,9/21/2021 8:10,99801096,9858,26731,120986,10,2024-06-25 16:36:04 UTC,classification_count,2024-06-06 03:08:09 UTC,https://panoptes-uploads.zooniverse.org/subject_location/9b2afc27-b25b-471e-a341-3ecfcd70a39c.png,https://panoptes-uploads.zooniverse.org/subject_location/2920df9d-bdf5-4532-8507-4880dcabbd88.png,RINGTAIL,6,60,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_10090051_frame_2,10090051_frame_201.png,10/10/2021 2:40,10090051_frame_202.png,10/10/2021 2:40,99801097,9858,26731,120986,10,2024-06-22 18:48:48 UTC,classification_count,2024-06-06 03:08:22 UTC,https://panoptes-uploads.zooniverse.org/subject_location/5cb47307-4b31-4cda-8713-057f84e29a01.png,https://panoptes-uploads.zooniverse.org/subject_location/b33d70da-4559-4d91-8d17-bf2831fa33ca.png,RINGTAIL,5,50,GCETRO_CC_06Dec2021
GCETRO_CC_06Dec2021_10280075_frame_2,10280075_frame_201.png,10/28/2021 10:02,10280075_frame_202.png,10/28/2021 10:02,99801098,9858,26731,120986,10,2024-06-21 22:41:37 UTC,classification_count,2024-06-06 03:08:25 UTC,https://panoptes-uploads.zooniverse.org/subject_location/56f0e74d-2c9b-40fb-99fa-d710269d4403.png,https://panoptes-uploads.zooniverse.org/subject_location/a7084cc7-ecfe-43ff-b805-c4716e804500.png,RINGTAIL,5,50,GCETRO_CC_06Dec2021
GCETRO_CC_07Mar2022_01010017_frame1,01010017_frame_101.png,1/1/2022 5:08,01010017_frame_102.png,1/1/2022 5:08,99801100,9858,26731,120987,10,2024-06-24 19:59:42 UTC,classification_count,2024-06-06 03:09:13 UTC,https://panoptes-uploads.zooniverse.org/subject_location/f9e4a01b-e764-4578-ab7f-6816ab74ee57.png,https://panoptes-uploads.zooniverse.org/subject_location/e8355cd3-eace-4b31-bd0c-2c0d7c9ea9b7.png,RINGTAIL,10,100,GCETRO_CC_07Mar2022
GCETRO_CC_07Mar2022_01030018_frame1,01030018_frame_101.png,1/3/2022 22:36,01030018_frame_102.png,1/3/2022 22:36,99801101,9858,26731,120987,10,2024-06-21 20:25:41 UTC,classification_count,2024-06-06 03:09:14 UTC,https://panoptes-uploads.zooniverse.org/subject_location/82270af5-e1b4-4069-8a30-b6aec3f20edb.png,https://panoptes-uploads.zooniverse.org/subject_location/ed77d2fa-abe6-49e8-a07a-ca992ebc69ca.png,RINGTAIL,9,90,GCETRO_CC_07Mar2022
