TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
GCJH_CC_05Dec2021_DCIM0036_frame1,DCIM0036_frame_101.png,9/13/2021 6:31,DCIM0036_frame_102.png,9/13/2021 6:31,99765454,9858,26731,120993,10,2024-06-22 22:08:14 UTC,classification_count,2024-06-04 14:18:22 UTC,https://panoptes-uploads.zooniverse.org/subject_location/965c2865-9cf5-4c51-9ed7-485beb9befd9.png,https://panoptes-uploads.zooniverse.org/subject_location/9c30cbfa-9f5e-445e-b204-0f6b422d3eb2.png,DEERMOUSE,6,60,GCJH_CC_05Dec2021
GCJH_CC_06Jun2021_DCIM0001_frame1,DCIM0001_frame_101.png,6/6/2021 17:53,DCIM0001_frame_102.png,6/6/2021 17:53,99765100,9858,26731,120991,10,2024-06-19 20:16:23 UTC,classification_count,2024-06-04 13:34:48 UTC,https://panoptes-uploads.zooniverse.org/subject_location/f8744c25-4b42-483d-b24b-287c259bd399.png,https://panoptes-uploads.zooniverse.org/subject_location/a1384415-ae42-44a3-861d-abd03a22d845.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0002_frame1,DCIM0002_frame_101.png,6/6/2021 18:06,DCIM0002_frame_102.png,6/6/2021 18:06,99765101,9858,26731,120991,10,2024-06-21 20:44:34 UTC,classification_count,2024-06-04 13:34:49 UTC,https://panoptes-uploads.zooniverse.org/subject_location/93b54005-b0b4-4f29-bb41-17c9244262bf.png,https://panoptes-uploads.zooniverse.org/subject_location/9f09573c-3491-4161-8864-fab4f5158f61.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0003_frame1,DCIM0003_frame_101.png,6/6/2021 18:40,DCIM0003_frame_102.png,6/6/2021 18:40,99765102,9858,26731,120991,10,2024-06-21 18:44:24 UTC,classification_count,2024-06-04 13:34:50 UTC,https://panoptes-uploads.zooniverse.org/subject_location/55763235-928e-4854-a738-184b306ab907.png,https://panoptes-uploads.zooniverse.org/subject_location/8feb357d-c783-409d-b675-d00bbc008acb.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0004_frame1,DCIM0004_frame_101.png,6/6/2021 18:44,DCIM0004_frame_102.png,6/6/2021 18:44,99765103,9858,26731,120991,10,2024-06-24 16:04:20 UTC,classification_count,2024-06-04 13:34:50 UTC,https://panoptes-uploads.zooniverse.org/subject_location/b6766aa8-72b4-4e45-a37a-c75e215f0180.png,https://panoptes-uploads.zooniverse.org/subject_location/df66b380-7937-4e6c-9110-04e3deb037d7.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0006_frame1,DCIM0006_frame_101.png,6/6/2021 19:06,DCIM0006_frame_102.png,6/6/2021 19:06,99765104,9858,26731,120991,10,2024-06-24 03:25:07 UTC,classification_count,2024-06-04 13:34:50 UTC,https://panoptes-uploads.zooniverse.org/subject_location/bf9c57f7-8291-429b-8526-882fe641ad00.png,https://panoptes-uploads.zooniverse.org/subject_location/feecf364-567d-4c31-b5f4-354d37dcbd58.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0007_frame1,DCIM0007_frame_101.png,6/6/2021 19:08,DCIM0007_frame_102.png,6/6/2021 19:08,99765105,9858,26731,120991,10,2024-06-21 20:44:36 UTC,classification_count,2024-06-04 13:34:52 UTC,https://panoptes-uploads.zooniverse.org/subject_location/13b075cf-b71e-4d41-8525-10f599284b65.png,https://panoptes-uploads.zooniverse.org/subject_location/98c5b0bd-f45c-4a0e-b038-1ff149c4f13e.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0009_frame1,DCIM0009_frame_101.png,6/6/2021 19:24,DCIM0009_frame_102.png,6/6/2021 19:24,99765106,9858,26731,120991,10,2024-06-21 12:29:49 UTC,classification_count,2024-06-04 13:34:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/e8364091-a53b-4dce-af83-e7cbded579af.png,https://panoptes-uploads.zooniverse.org/subject_location/7d1362f8-f049-40fc-9e60-53d71944efd2.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0010_frame1,DCIM0010_frame_101.png,6/6/2021 19:32,DCIM0010_frame_102.png,6/6/2021 19:32,99765107,9858,26731,120991,11,2024-06-21 20:00:12 UTC,classification_count,2024-06-04 13:34:55 UTC,https://panoptes-uploads.zooniverse.org/subject_location/195378d7-e27e-417d-ab8c-9d5fa1bf1cba.png,https://panoptes-uploads.zooniverse.org/subject_location/1a8f92ef-d6d2-43cb-9c07-9257c9945b60.png,NOTHINGHERE,11,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0011_frame1,DCIM0011_frame_101.png,6/6/2021 19:34,DCIM0011_frame_102.png,6/6/2021 19:34,99765108,9858,26731,120991,10,2024-06-21 21:00:35 UTC,classification_count,2024-06-04 13:34:55 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8df068da-d404-40d1-8e75-562cd68ff2fb.png,https://panoptes-uploads.zooniverse.org/subject_location/3d758195-321c-4530-9602-29d9d5b46f43.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
GCJH_CC_06Jun2021_DCIM0012_frame1,DCIM0012_frame_101.png,6/6/2021 19:36,DCIM0012_frame_102.png,6/6/2021 19:36,99765109,9858,26731,120991,10,2024-06-21 20:06:32 UTC,classification_count,2024-06-04 13:34:55 UTC,https://panoptes-uploads.zooniverse.org/subject_location/2bc0fa31-9e3c-43b8-a423-c49c52ec307d.png,https://panoptes-uploads.zooniverse.org/subject_location/6525dffb-e279-4508-9b2f-2edc4d11d226.png,NOTHINGHERE,10,100,GCJH_CC_06Jun2021
