TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
GCPN_CC_14Jun2022_103EK113_04050832,103EK113_04050832.JPG,2022:04:05 10:00:33,103EK113_04050833.JPG,2022:04:05 10:00:33,99013663,9858,23895,122151,15,2024-08-05 03:54:23 UTC,classification_count,2024-05-10 15:51:34 UTC,https://panoptes-uploads.zooniverse.org/subject_location/cc905eaa-f1de-4da6-84df-2db3d9931844.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/dc1033d0-1fb0-45b3-8276-5145410afa69.jpeg,WHIPTAILPAISTRIPED,4,26.67,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03100005,100EK113_03100005.JPG,2022:03:10 08:51:52,100EK113_03100006.JPG,2022:03:10 08:51:53,99013624,9858,26586,120544,15,2024-07-08 05:48:35 UTC,classification_count,2024-05-10 15:50:50 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8e0123d4-2021-4f88-bafc-415ccf9a7182.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/50a3e5b0-30ca-405b-b012-2616a036e3a4.jpeg,ROCKSQUIRREL,9,60,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03110105,100EK113_03110105.JPG,2022:03:11 12:33:27,100EK113_03110106.JPG,2022:03:11 12:33:27,99013625,9858,26586,120544,15,2024-07-08 16:01:17 UTC,classification_count,2024-05-10 15:50:51 UTC,https://panoptes-uploads.zooniverse.org/subject_location/76037f7d-d78f-40f4-9df4-578e24a5b474.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/be329c55-218b-429d-9628-c0f81b7d2dd6.jpeg,NOTHINGHERE,15,100,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03120387,100EK113_03120387.JPG,2022:03:12 13:45:42,100EK113_03120388.JPG,2022:03:12 13:45:42,99013626,9858,26586,120544,15,2024-07-08 17:52:44 UTC,classification_count,2024-05-10 15:50:52 UTC,https://panoptes-uploads.zooniverse.org/subject_location/44280647-cdba-49f5-8e49-53947d9b573c.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/c00599ac-5f53-4da2-b34d-e9a32c68f5c9.jpeg,PARTIALANIMAL,5,33.33,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03120437,100EK113_03120437.JPG,2022:03:12 15:29:01,100EK113_03120438.JPG,2022:03:12 15:29:01,99013627,9858,26586,120544,15,2024-07-07 13:37:36 UTC,classification_count,2024-05-10 15:50:52 UTC,https://panoptes-uploads.zooniverse.org/subject_location/3da78333-f706-4383-a11c-43e948f1ce49.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/04406d1b-ab1e-4832-ad90-951cb21d1c41.jpeg,NOTHINGHERE,15,100,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03130475,100EK113_03130475.JPG,2022:03:13 15:29:02,100EK113_03130476.JPG,2022:03:13 15:29:02,99013628,9858,26586,120544,15,2024-07-08 22:34:44 UTC,classification_count,2024-05-10 15:50:52 UTC,https://panoptes-uploads.zooniverse.org/subject_location/d66cbec0-47dc-4c1e-a83f-8dbe5219bb8b.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/d02885e5-d78f-4b10-93a9-6cd685ccb612.jpeg,NOTHINGHERE,15,100,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03140503,100EK113_03140503.JPG,2022:03:14 11:41:43,100EK113_03140504.JPG,2022:03:14 11:41:43,99013629,9858,26586,120544,15,2024-07-08 19:43:18 UTC,classification_count,2024-05-10 15:50:52 UTC,https://panoptes-uploads.zooniverse.org/subject_location/c1c43c5c-7f55-4cb6-8138-19c2ba517dd4.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/160f7516-a7a1-41eb-8843-9b02aff21102.jpeg,NOTHINGHERE,15,100,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03150613,100EK113_03150613.JPG,2022:03:15 11:48:41,100EK113_03150614.JPG,2022:03:15 11:48:41,99013630,9858,26586,120544,15,2024-07-08 22:43:48 UTC,classification_count,2024-05-10 15:50:56 UTC,https://panoptes-uploads.zooniverse.org/subject_location/d4e17a7f-dde2-4a96-87f1-ea77ff6f0e84.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/d53f3a69-fdf6-492e-9363-8b4e3da42f5e.jpeg,NOTHINGHERE,14,93.33,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03170785,100EK113_03170785.JPG,2022:03:17 14:09:28,100EK113_03170786.JPG,2022:03:17 14:09:29,99013631,9858,26586,120544,15,2024-07-08 17:20:53 UTC,classification_count,2024-05-10 15:50:57 UTC,https://panoptes-uploads.zooniverse.org/subject_location/b6d0ad8e-500e-4c02-88c6-5d658ec6ff90.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/f913bd7a-0a03-4c85-b457-faa623e7ddfe.jpeg,NOTHINGHERE,15,100,GCPN_CC_14Jun2022
GCPN_CC_14Jun2022_100EK113_03180933,100EK113_03180933.JPG,2022:03:18 14:55:52,100EK113_03180934.JPG,2022:03:18 14:55:52,99013632,9858,26586,120544,15,2024-07-08 12:06:14 UTC,classification_count,2024-05-10 15:50:58 UTC,https://panoptes-uploads.zooniverse.org/subject_location/0d482b56-9b23-4187-97d5-b6c4ddf32e5f.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/10b994aa-7cc8-4e0c-a9b0-e0eec6b98e05.jpeg,NOTHINGHERE,15,100,GCPN_CC_14Jun2022
