TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
GCTL_CC_06Dec2021_09140001_frame1,09140001_frame_101.png,9/14/2021 20:55,09140001_frame_102.png,9/14/2021 20:55,99802337,9858,26731,121006,10,2024-06-26 12:08:38 UTC,classification_count,2024-06-06 12:55:24 UTC,https://panoptes-uploads.zooniverse.org/subject_location/1b00e6c4-3e7f-49e4-b92d-2de339aa8a46.png,https://panoptes-uploads.zooniverse.org/subject_location/14b76b76-31eb-4004-a4cb-7f8d5fc2bd63.png,NOTHINGHERE,7,70,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09150002_frame1,09150002_frame_101.png,9/15/2021 8:38,09150002_frame_102.png,9/15/2021 8:38,99802338,9858,26731,121006,10,2024-06-25 15:38:09 UTC,classification_count,2024-06-06 12:55:25 UTC,https://panoptes-uploads.zooniverse.org/subject_location/c2d28114-c829-4b44-aea4-28c3d939021b.png,https://panoptes-uploads.zooniverse.org/subject_location/5145ef20-fc0e-46c2-a762-ad53de8d645d.png,NOTHINGHERE,9,90,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09150004_frame1,09150004_frame_101.png,9/15/2021 16:58,09150004_frame_102.png,9/15/2021 16:58,99802339,9858,26731,121006,10,2024-06-25 22:18:03 UTC,classification_count,2024-06-06 12:55:25 UTC,https://panoptes-uploads.zooniverse.org/subject_location/fe3141af-0021-4a12-a9ce-020c0b30a995.png,https://panoptes-uploads.zooniverse.org/subject_location/b70d46cf-cbf6-4dec-a314-fbd1c2a4ce7e.png,NOTHINGHERE,7,70,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09150005_frame1,09150005_frame_101.png,9/15/2021 20:34,09150005_frame_102.png,9/15/2021 20:34,99802341,9858,26731,121006,10,2024-06-23 18:24:25 UTC,classification_count,2024-06-06 12:55:29 UTC,https://panoptes-uploads.zooniverse.org/subject_location/2e131986-ded0-4c47-a0f2-efdc2592bdec.png,https://panoptes-uploads.zooniverse.org/subject_location/ee1c736e-6ecb-4d62-9abb-770ea8fea62b.png,NOTHINGHERE,4,40,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09160007_frame1,09160007_frame_101.png,9/16/2021 9:46,09160007_frame_102.png,9/16/2021 9:46,99802340,9858,26731,121006,10,2024-06-26 10:50:12 UTC,classification_count,2024-06-06 12:55:26 UTC,https://panoptes-uploads.zooniverse.org/subject_location/8bcd52e7-c62a-4e06-adc5-1978524ca67d.png,https://panoptes-uploads.zooniverse.org/subject_location/a10a23e6-be33-41ec-a5d8-33c09b14a265.png,NOTHINGHERE,7,70,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09170008_frame1,09170008_frame_101.png,9/17/2021 23:00,09170008_frame_102.png,9/17/2021 23:00,99802342,9858,26731,121006,10,2024-06-24 00:32:45 UTC,classification_count,2024-06-06 12:55:29 UTC,https://panoptes-uploads.zooniverse.org/subject_location/fcb40a8f-89a6-4540-a1a7-743e7449efde.png,https://panoptes-uploads.zooniverse.org/subject_location/d832ffc4-75ed-4223-aab8-85ea404577b0.png,RINGTAIL,8,80,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09170009_frame1,09170009_frame_101.png,9/17/2021 23:01,09170009_frame_102.png,9/17/2021 23:01,99802343,9858,26731,121006,10,2024-06-25 14:24:15 UTC,classification_count,2024-06-06 12:55:37 UTC,https://panoptes-uploads.zooniverse.org/subject_location/6af2decd-42f6-40c9-be32-61440851a962.png,https://panoptes-uploads.zooniverse.org/subject_location/545bfc81-0382-42e0-ac0e-f1882ff013cc.png,RINGTAIL,8,80,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09170010_frame1,09170010_frame_101.png,9/17/2021 23:02,09170010_frame_102.png,9/17/2021 23:02,99802344,9858,26731,121006,10,2024-06-25 23:45:40 UTC,classification_count,2024-06-06 12:55:38 UTC,https://panoptes-uploads.zooniverse.org/subject_location/6b418df6-2f82-44b3-a78b-6a975916f5d7.png,https://panoptes-uploads.zooniverse.org/subject_location/832ba081-9a9e-49b7-b466-ccfb60e0be9b.png,RINGTAIL,7,70,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09170011_frame1,09170011_frame_101.png,9/17/2021 23:35,09170011_frame_102.png,9/17/2021 23:35,99802345,9858,26731,121006,10,2024-06-22 16:12:21 UTC,classification_count,2024-06-06 12:55:40 UTC,https://panoptes-uploads.zooniverse.org/subject_location/80849f47-7c43-4b16-b94e-f992c846bd41.png,https://panoptes-uploads.zooniverse.org/subject_location/755ba825-54f6-4fa0-88b2-2621fa1207cb.png,RINGTAIL,4,40,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09170012_frame1,09170012_frame_101.png,9/17/2021 23:36,09170012_frame_102.png,9/17/2021 23:36,99802346,9858,26731,121006,10,2024-06-26 04:12:20 UTC,classification_count,2024-06-06 12:55:40 UTC,https://panoptes-uploads.zooniverse.org/subject_location/fed8cc07-8815-4192-b11f-a366b8ab5194.png,https://panoptes-uploads.zooniverse.org/subject_location/41333e4b-a5af-4605-9622-51c57a4ba104.png,RINGTAIL,8,80,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09200013_frame1,09200013_frame_101.png,9/20/2021 10:51,09200013_frame_102.png,9/20/2021 10:51,99802347,9858,26731,121006,10,2024-06-25 21:01:56 UTC,classification_count,2024-06-06 12:55:41 UTC,https://panoptes-uploads.zooniverse.org/subject_location/796f6240-6343-4ee0-92aa-d397355e1743.png,https://panoptes-uploads.zooniverse.org/subject_location/a0f0fc8c-2158-4026-9824-8203f5f9603b.png,RINGTAIL,9,90,GCTL_CC_06Dec2021
GCTL_CC_06Dec2021_09210014_frame1,09210014_frame_101.png,9/21/2021 6:32,09210014_frame_102.png,9/21/2021 6:32,99802348,9858,26731,121006,10,2024-06-21 21:18:37 UTC,classification_count,2024-06-06 12:55:47 UTC,https://panoptes-uploads.zooniverse.org/subject_location/6e973f94-bc9b-48cf-b249-820322ed4c4e.png,https://panoptes-uploads.zooniverse.org/subject_location/bd52b720-5029-45d8-bf7c-b6141f6311c8.png,PARTIALANIMAL,4,40,GCTL_CC_06Dec2021
