TriggerID,ImageFile1,ImageDate1,ImageFile2,ImageDate2,subject_id,project_id,workflow_id,subject_set_id,classifications_count,retired_at,retirement_reason,created_at,location_list_0,location_list_1,top_identity,top_value,consensus_pct,cce_id
SGP_CC_07Oct2021_DCIM0005,DCIM0005.JPG,2021:07:13 11:03:41,DCIM0006.JPG,2021:07:13 11:03:41,76924940,9858,11938,105360,10,2023-05-07 21:19:41 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/d1179656-116b-427a-a67d-3dd7711252e0.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/48af5f2b-c534-43eb-a64b-f1ff3f43b41e.jpeg,HUMANORVEHICLE,9,100,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0007,DCIM0007.JPG,2021:07:13 11:13:34,DCIM0008.JPG,2021:07:13 11:13:34,76924941,9858,11938,105360,10,2023-05-01 16:58:50 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/71387925-c5d5-4ff1-9833-ff473f8a1aae.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/5db4d7d1-2fbd-4c24-8688-800016c6bb2c.jpeg,NOTHINGHERE,10,100,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0009,DCIM0009.JPG,2021:07:13 11:14:26,DCIM0010.JPG,2021:07:13 11:14:26,76924943,9858,11938,105360,10,2023-04-25 20:12:16 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/cc1beb59-8cbd-4022-aa24-bbabcaa9164f.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/cc53a5fc-b993-4c2e-8832-d1ac553d9e33.jpeg,NOTHINGHERE,9,100,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0011,DCIM0011.JPG,2021:07:13 11:14:55,DCIM0012.JPG,2021:07:13 11:14:55,76924942,9858,11938,105360,10,2023-05-08 00:12:56 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/b88b6e18-25bb-468f-9257-1bf2f555c0fa.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/6ed3918b-e882-4732-8e30-1e6ce21ddd6c.jpeg,NOTHINGHERE,9,100,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0013,DCIM0013.JPG,2021:07:13 11:16:21,DCIM0014.JPG,2021:07:13 11:16:22,76924944,9858,11938,105360,10,2023-05-01 04:57:57 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/bf67274f-8b71-4c63-8a17-eb4f632e6750.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/6a7f32ff-e9c9-4419-afcf-ea0937a14d2c.jpeg,NOTHINGHERE,9,100,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0015,DCIM0015.JPG,2021:07:13 11:18:13,DCIM0016.JPG,2021:07:13 11:18:13,76924945,9858,11938,105360,10,2023-04-16 20:53:43 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a2b98038-5e22-41ea-864b-e852fa18f5be.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/0dac368d-f547-41ce-9bb2-625ce55ba6f7.jpeg,NOTHINGHERE,10,100,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0017,DCIM0017.JPG,2021:07:13 11:19:24,DCIM0018.JPG,2021:07:13 11:19:24,76924946,9858,11938,105360,10,2023-05-01 22:46:22 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/75798f5e-26a7-47c7-8887-45f356ac1d18.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/08e53393-9c26-41ca-bde7-8c82aed12c89.jpeg,NOTHINGHERE,9,100,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0019,DCIM0019.JPG,2021:07:13 11:21:41,DCIM0020.JPG,2021:07:13 11:21:41,76924947,9858,11938,105360,10,2023-04-28 04:45:19 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/aa64290a-a8cf-4032-ade9-ca726d2f4659.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/87d1b49e-0781-4e59-a7b0-f614d33b7fcb.jpeg,NOTHINGHERE,10,100,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0021,DCIM0021.JPG,2021:07:13 11:24:13,DCIM0022.JPG,2021:07:13 11:24:13,76924948,9858,11938,105360,10,2023-05-04 20:52:51 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/35b97a04-835b-46e1-a830-b61bd1a4aa47.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/7b0fa079-33d7-47c7-a7f2-618adc972465.jpeg,HUMANORVEHICLE,7,77.78,SGP_CC_07Oct2021
SGP_CC_07Oct2021_DCIM0023,DCIM0023.JPG,2021:07:13 11:25:28,DCIM0024.JPG,2021:07:13 11:25:28,76924949,9858,11938,105360,10,2023-05-07 22:10:49 UTC,classification_count,2022-06-03 14:23:54 UTC,https://panoptes-uploads.zooniverse.org/subject_location/a0ae7853-742d-4080-9c46-545b020d7f1a.jpeg,https://panoptes-uploads.zooniverse.org/subject_location/5a4e6bd6-af78-43ea-bab9-b5c5e0fa4387.jpeg,NOTHINGHERE,9,100,SGP_CC_07Oct2021
