SiteNumber,SiteID,SiteName,SiteArea,NationalPark,SiteType,Synonymns,StartDay,FunctionalCameraTrapDays,DeploymentCheckEvent,01_Fall2020_CE,02_Winter2020_CE,03_Spring2021_CE,04_Summer2021_CE,05_Fall2021_CE,06_Winter2021_CE,07_Spring2022_CE,08_Summer2022_CE,09_Fall2022_CE,01_Fall2020_CCE,02_Winter2020_CCE,03_Spring2021_CCE,04_Summer2021_CCE,05_Fall2021_CCE,06_Winter2021_CCE,07_Spring2022_CCE,08_Summer2022_CCE,09_Fall2022_CCE
15,DZ,DeZion Gallery,Maintenance Yard,Zion,outdoor,,11/13/20,need to input,DZ1_13Nov2020,DZ1_16Dec2020,"c(DZ1_20Jan2021, DZ_17Feb2021)",DZ_16Jun2021,DZ_14July2021,DZ_02Oct2021,DZ_15Dec2021,DZ_17Mar2022,DZ_25Jun2022,need to input,DZ1_CC_16Dec2020,"c(DZ1_CC_20Jan2021, DZ_CC_17Feb2021)",,DZ_CC_14Jul2021,DZ_CC_02Oct2021,DZ_CC_17Mar2022,DZ_CC_25Jun2022,DZ_CC_01Oct2022,need to input
13,EC1,Trail,Maintenance Yard,Zion,outdoor,ECT,11/7/20,need to input,EC1_07Nov2020,EC1_20Dec2020,"c(EC1_19Jan2021, EC1_17Feb2021)",EC1_18May2021,EC1_02Aug2021,EC1_02Oct2021,EC1_01Dec2021,EC1_14Mar2022,EC1_24Jun2022,need to input,EC1_CC_20Dec2020,"c(EC1_CC_19Jan2021, EC1_CC_17Feb2021, EC1_CC_14Mar2021)",EC1_CC_18May2021,EC1_CC_02Aug2021,"c(EC1_CC_02Oct2021, EC1_CC_01Dec2021)",EC1_CC_14Mar2022,ECT_CC_24Jun2022,ECT_CC_02Oct2022,need to input
14,EC2,Campground,Maintenance Yard,Zion,outdoor,ECC,11/7/20,need to input,EC2_07Nov2020,EC2_20Dec2020,"c(EC2_19Jan2021, EC2_17Feb2021, **EC2_14March2021)",EC2_18May2021,EC2_02Aug2021,EC2_02Oct2021,EC2_01Dec2021,EC2_14Mar2022,EC2_24Jun2022,need to input,EC2_CC_20Dec2020,"c(EC2_CC_19Jan2021, EC2_CC_17Feb2021, EC2_CC_14Mar2021)",EC2_CC_18May2021,EC2_CC_02Aug2021,EC2_CC_02Oct2021,EC2_CC_14Mar2022,ECC_CC_24Jun2022,ECC_CC_02Oct2022,need to input
33,GC15H,1.5 House,South Rim,Grand Canyon,outdoor,,6/5/21,need to input,GC15_Jun2021,not deployed,not deployed,not deployed,"c(GC15_25July2021, GC15_11Sep2021)",GC15H_11Sep2021,GC15H_04Dec2021,GC15H_08Mar2022,GC15H_13Jun2022,need to input,not deployed,not deployed,not deployed,"c(GC15H_CC_25July2021, GC15H_CC_11Sep2021)",GC15H_CC_06Dec2021,GC15H_CC_08Mar2022,GC15H_CC_13Jun2022,GC15H_CC_17Sep2022,need to input
39,GCBAC,Bright Angel Campground,Inner Canyon,Grand Canyon,outdoor,GC22,5/7/21,need to input,GCBAC_07May2021,not deployed,not deployed,not deployed,GC22_12Sep2021,GC22_03Dec2021,GC22_09Mar2022,GC22_09Mar2022,GC22_14Jun2022,GC22_18Sep2022,not deployed,not deployed,GCBAC_CC_06Jun2021,GC22_CC_12Sep2021,GC22_CC_05Dec2021,GC22_CC_08Mar2022,GC22_CC_14Jun2022,need to input,need to input
27,GCBAR,Bright Angel Roof,South Rim,Grand Canyon,building,,6/2/21,need to input,GCBAR_02June2021,not deployed,not deployed,not deployed,GCBAR_13Sep2021,GCBAR_14Sep2021,GCBAR_06Dec2021,GCBAR_07Mar2022,GCBAR_16Jun2022,GCBAR_19Sep2022,not deployed,not deployed,not deployed,GCBAR_CC_13Sep2021,GCBAR_CC_06Dec2021,GCBAR_CC_07Mar2022,GCBAR_CC_16Jun2022,GCBAR_CC_19Sep2022,need to input
40,GCBB,Boat Beach,Inner Canyon,Grand Canyon,outdoor,,6/6/21,need to input,GCBB_June2021,not deployed,not deployed,not deployed,GCBB_05Jun2021,GCBB_12Sep2021,GCBB_03Dec2021,GCBB_09Mar2022,GCBB_14Jun2022,GCBB_18Sep2022,not deployed,not deployed,not deployed,GCBB_CC_12Sep2021,GCBB_CC_05Dec2021,camera capture missing,GCBB_CC_14Jun2022,need to input,need to input
31,GCBH,Bunkhouse,Inner Canyon,Grand Canyon,building,,5/6/21,need to input,GCBH_06May2021,not deployed,not deployed,not deployed,GCBH_June2021,GCBH_12Sep2021,GCBH_05Dec2021,GCBH_09Mar2022,GCBH_14Jun2022,GCBH_19Sep2022,not deployed,not deployed,not deployed,GCBH_CC_12Sep2021,GCBH_CC_05Dec2021,GCBH_CC_09Mar2022,GCBH_CC_14Jun2022,need to input,need to input
34,GCC,Clinic,South Rim,Grand Canyon,outdoor,,6/3/21,need to input,GCC_03June2021,not deployed,not deployed,not deployed,GCC_25July2021,GCC_10Sep2021,GCC_03Dec2021,GCC_13Mar2022,GCC_12Jun2022,need to input,not deployed,not deployed,not deployed,GCC_CC_25July2021,GCC_CC_10Sep2021,GCC_CC_13Mar2022,GCC_CC_12Jun2022,GCC_CC_19Sep2022,need to input
26,GCETCR,Canyon Room,South Rim,Grand Canyon,building,,6/2/21,need to input,GCET2_02June2021,not deployed,not deployed,not deployed,GCETCR_02Jun2021,GCETCR_06Sep2021,GCETCR_03Dec2021,GCETCR_13Mar2022,GCETCR_16Jun2022,GCETCR_19Sep2022,not deployed,not deployed,not deployed,GCETCR_CC_14Sep2021,GCETCR_CC_06Dec2021,GCETCR_CC_07Mar2022,GCETCR_CC_16Jun2022,GCETCR_CC_19Sep2022,need to input
