"","LatrineAreaType","Latrine","segment_id","FragmentType","DriedFragmentWeight","dry_weight_g","relative_weight"
"1","Maintenance","MY_Delivery2","s61","Vertebrate",0.0712,1.4566,0.0488809556501442
"2","Maintenance","MY_Delivery2","s61","Vertebrate",0.189,1.4566,0.129754222161197
"3","Maintenance","MY_Delivery2","s62","Anthropogenic",0.4674,1.4792,0.31598161168199
"4","Maintenance","MY_Delivery2","s62","Vertebrate",0.1551,1.4792,0.104853975121687
"5","Maintenance","MY_Delivery2","s63","Vertebrate",0.1393,1.0482,0.132894485785156
"6","Maintenance","MY_Delivery2","s63","Vertebrate",0.0992,1.0482,0.0946384277809578
"7","Maintenance","MY_Delivery2","s64","Contaminant",0.0596,1.2396,0.048080025814779
"8","Maintenance","MY_Delivery2","s64","Vertebrate",0.2086,1.2396,0.168280090351726
"9","Maintenance","MY_Delivery2","s64","Vertebrate",0.1215,1.2396,0.0980154888673766
"10","Maintenance","MY_Delivery2","s65","Anthropogenic",0.3137,1.8818,0.166702093740036
"11","Maintenance","MY_Delivery2","s65","Vertebrate",0.1874,1.8818,0.0995855032415772
"12","Maintenance","MY_Delivery2","s66","Anthropogenic",0.0488,0.9408,0.0518707482993197
"13","Maintenance","MY_Delivery2","s66","Vertebrate",0.1421,0.9408,0.151041666666667
"14","Maintenance","MY_Delivery2","s66","Anthropogenic",0.1054,0.9408,0.11203231292517
"15","Maintenance","MY_Delivery2","s66","Vertebrate",0.1038,0.9408,0.110331632653061
"16","Maintenance","MY_Delivery2","s67","Vertebrate",0.1191,1.5087,0.078942135613442
"17","Maintenance","MY_Delivery2","s68","Anthropogenic",0.2453,1.8306,0.133999781492407
"18","Maintenance","MY_Delivery2","s69","Vertebrate",0.085,1.3706,0.0620166350503429
"19","Maintenance","MY_Delivery2","s69","Vertebrate",0.1636,1.3706,0.119363782285131
"20","Maintenance","MY_Delivery2","s69","Plant",0.1326,1.3706,0.0967459506785349
"21","Maintenance","MY_Delivery2","s70","Contaminant",0.0946,1.6782,0.0563699201525444
"22","Maintenance","MY_Delivery2","s70","Vertebrate",0.1298,1.6782,0.0773447741627935
"23","Maintenance","MY_Delivery2","s70","Vertebrate",0.2636,1.6782,0.157073054463115
"24","Maintenance","MY_Delivery1","s106","Vertebrate",0.0797,3.0928,0.0257695292291774
"25","Maintenance","MY_Delivery1","s106","Vertebrate",0.074,3.0928,0.0239265390584584
"26","Maintenance","MY_Delivery1","s107","Anthropogenic",0.3038,2.1723,0.13985177001335
"27","Maintenance","MY_Delivery1","s107","Vertebrate",0.5794,2.1723,0.26672190765548
"28","Maintenance","MY_Delivery1","s107","Vertebrate",0.0881,2.1723,0.0405560926207246
"29","Maintenance","MY_Delivery1","s108","Vertebrate",0.1256,3.1636,0.0397016057655835
"30","Maintenance","MY_Delivery1","s109","Anthropogenic",0.3303,1.2334,0.267796335333225
"31","Maintenance","MY_Delivery1","s109","Plant",0.1421,1.2334,0.115209988649262
"32","Maintenance","MY_Delivery1","s110","Anthropogenic",0.073,2.4181,0.0301889913568504
"33","Maintenance","MY_Delivery1","s110","Anthropogenic",0.0677,2.4181,0.0279971878747777
"34","Maintenance","MY_Delivery1","s111","Anthropogenic",1.0521,3.2967,0.319137319137319
"35","Maintenance","MY_Delivery1","s112","Anthropogenic",0.1452,0.5393,0.269237900982755
"36","Maintenance","MY_Delivery1","s112","Anthropogenic",0.2488,0.5393,0.461338772482848
"37","Maintenance","MY_Delivery1","s112","Anthropogenic",0.1222,0.5393,0.226590024105322
"38","Maintenance","MY_Delivery1","s112","Anthropogenic",0.0561,0.5393,0.10402373447061
"39","Maintenance","MY_Delivery1","s113","Anthropogenic",0.2101,0.7465,0.281446751507033
"40","Maintenance","MY_Delivery1","s113","Vertebrate",0.1322,0.7465,0.177093101138647
