source_id,Citation,PublicationYear,method,Location,Latitude,Longitude,n_Scat,n_organ,n_Observation,dietary_analysis_unit,data_extracted,notes
Ackerson and Harveson 2006,"Ackerson BK, Harveson LA. Characteristics of a ringtail (Bassariscus astutus) population in Trans Pecos, Texas. Texas Journal of Science. 2006;58(2):169-84.",2006,fresh scat,"Elephant Mountain WMA, Brewster County, Texas",,,67,,,,yes,
Alexander et al. 1994,"Alexander LF, Verts BJ, Farrell TP. Diet of ringtails (Bassariscus astutus) in Oregon. Northwestern Naturalist. 1994 Dec 1;75(3):97-101.",1994,fresh scat,"Myrtle Creek Drainage, Douglas County, Oregon",,,56,n/a,n/a,,yes,
Allen 2013,Allen ML. Scavenging of a striped skunk (Mephitis mephitis) by a ringtail (Bassariscus astutus) in northern California. Northwestern Naturalist. 2013 Apr 1;94(1):79-81.,2013,camera trap,"along Highway 162, Mendocino National Forest, near the town of Elk Creek, California",,,n/a,n/a,2,,yes,
Allen et al. 2015,"Allen ML, Elbroch LM, Wilmers CC, Wittmer HU. The comparative effects of large carnivores on the acquisition of carrion by scavengers. The American Naturalist. 2015 Jun 1;185(6):822-33.",2015,camera trap,"Mendocino National Forest, Califronia",,,n/a,n/a,13,,yes,
Allen et al. 2016,"Allen ML, Wilmers CC, Elbroch LM, Golla JM, Wittmer HU. The importance of motivation, weapons, and foul odors in driving encounter competition in carnivores. Ecology. 2016 Aug;97(8):1905-12",2016,camera trap,"Mendocino National Forest, Califronia",,,n/a,n/a,3,,yes,
Bailey 1928,"Bailey, V. 1928. Animal life of the Carlsbad Cavern. Monographs of the American Society of Mammalogists 3:1–192.",1928,observation,"Carlsbad Caverns National Park, New Mexico",,,unclear,n/a,unclear,,yes,
Bee 1981,Bee JW. Mammals in Kansas. University Press of Kansas; 1981.,1981,,,,,,,,,,SS to check for library access
Bradley & Hansen 1965,"Bradley WG, Hansen CG. Observations on the distribution of the ring-tailed cat in southern Nevada. The Southwestern Naturalist. 1965 Nov 15;10(4):310-1.",1965,observation,"Basin Spring in the Spring Range, Nevada",,,n/a,n/a,1,,yes,
Burns 1961,"Burns RD. Recent Additions to the Mammal Collection of the Stovall Museum. InProceedings of the Oklahoma Academy of Science 1961 Feb 5 (Vol. 41, pp. 70-72).",1861,roadkill collection,"State Highway 9 about five miles west of Nonnan in McClain County, Oklahoma",,,,1 stomach,,,yes,
Calderón Vega 2002,"Calderón Vega,  J.  I.  2002.  Hábitos  Alimentarios  del  Babisuri  Bassariscus  astutus  saxiola(Carnívora:  Procyonidae),  en  la  Isla  Espíritu  Santo,  Baja  California  Sur  México.  Tesis  de  Maestría  en  Ciencias  (Biología  Animal).  Facultad  de  Ciencias,  UNAM.  México.  114  pp.",2002,fresh scat,"Isla Espíritu Santo,  Baja California Sur, Mexico",,,974,n/a,n/a,,yes,124 latrines included in count; need a spanish speaker to confirm
Castellanos Morales 2008,"Castellanos Morales GC, Peña NG, List R. Uso de recursos del cacomixtle,  Bassariscus astutus, y la zoora gris, Urocyon cinereoargenteus, en una reserva urbana de la Ciudad de Mexico. Avances. 377.",2008,fresh scat,"Reserva Ecológica del Pedregalde San Ángel de Ciudad Universitaria, México, D.F. ",,,52,n/a,n/a,,yes,
Castellanos Morales et al. 2009,"Castellanos Morales GC, Peña NG, List R. Ecología del cacomixtle (Bassariscus astutus) y la zorra gris (Urocyon cinereoargenteus). Historia natural y ecología de poblaciones",2009,fresh scat,,,,unclear,n/a,n/a,,yes,caught 11 ringtails
Chavez-Ramirez & Slack 1993,"Chavez-Ramirez F, Slack RD. Carnivore fruit-use and seed dispersal of two selected plant species of the Edwards Plateau, Texas. The Southwestern Naturalist. 1993 Jun 1:141-5.",1993,fresh scat,"Edwards Plateua, Texas",,,10,n/a,n/a,,yes,
Cisneros-Moreno & Martínez-Corone 2019,"Cisneros-Moreno C, Martínez-Coronel M. Alimentación del cacomixtle (Bassariscus astutus) en un ambiente urbano y uno agrícola en los valles centrales de Oaxaca. Revista Mexicana de Mastozoología (Nueva Época). 2019 Jul 25;9(1):31-43.",2019,fresh scat,"Central Valleys of Oaxaca, Mexico",,,139,n/a,n/a,,yes,
Davis 1960,Davis WB. 1960. The mammals of Texas. Texas Game and Fish Comm. Bull. 41:1-252,1960,,,,,,100 stomachs,,,,Waiting on ILL 
Gonzalez 1984,,1984,fresh scat; whole specimens,,,,24,10 stomachs,,,,Waiting on ILL 
Grinnell et al. 1937,"Grinnell J, Dixon JS, Linsdale JM. Fur-bearing mammals of California: their natural history, systematic status and relations to man. 1937. University of California, Berkeley",1937,observation,northwestern California,,,n/a,n/a,unclear,,yes,
