Source,common name,ReportedName,IUCN_scientific_name,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage,diet_category,notes
Alexander et al. 1994,Fir,Abies,not_specified,Abies,EOL,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,x,,,
Nava-Vargas 1994,Schaffner's Wattle,Acacia schaffneri,,Acacia schaffneri,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia schaffneri,,,
Nava-Vargas et al. 1999,Schaffner's Wattle,Accacia shcaffneri,,Acacia schaffneri,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia schaffneri,,,
Castellanos Morales et al. 2008,Copperleaf,Acalypha sp.,,Acalypha,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,x,,,
Nava-Vargas 1994,Indian copperleaf,Acalpha indica,,Acalypha indica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha indica,,,
Roadman 2014,Maple,Maple,,Acer,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,x,seeds,,
Alexander et al. 1994,Bigleaf maple,Aces macrophyllum,,Acer macrophyllum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer macrophyllum,seeds,,
Cisneros-Moreno & Martínez-Corone 2019,House cricket,Acheta domesticus,n/a,Acheta domesticus,ITIS,species,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,Acheta domesticus,,,
Calderon Vega 2002,Grasshopper,Orthopteral Acrididae,,Acrididae,ITIS,infraorder,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,,,
Calderon Vega 2002,Spotted sandpiper,Actitis maculuria,,Actitis macularius,ITIS,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius,,,
Kuban and Schwartz 1985,Century plant,Agave harvariana,,Agave havardiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Aspargales,Asparagaceae,Agave,Agave havardiana,,,
Nava-Vargas 1994,Lecheguilla,Agave lecheguila ,,Agave lecheguilla,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Aspargales,Asparagaceae,Agave,Agave lecheguilla,,,
Calderon Vega 2002,Creole cotton,Algodon,,Algodon,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Mavales,Malvaceae,Gossypium,x,,,
Navarrete-Ozuna 2011,Alder,Alnus sp. ,,Alnus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,x,,,
Calderon Vega 2002,Whip-spider,Amblypygi,,Amblypygi,ITIS,order,Animalia,Arthropoda,Euchelicerata,Amblypygi,x,x,x,,,
Calderon Vega 2002,Espiritu Santo Island Antelope Squirrel,Ammospermophilus insularis,,Ammospermophilus insularis,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus insularis,,,
Mead & van Devender 1981,White-tailed antelope squirrel,Ammospermophilus cf. leucurus,,Ammospermophilus leucurus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus leucurus,,,
Calderon Vega 2002,Black-throated sparrow,Amphispiza belineata,,Amphispiza bilineata,ITIS,species,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Amphispiza,Amphispiza bilineata,,,
Mead et al. 2006,Climbing salamander,Aneides ferrus/vagrans,,Aneides,ITIS,genus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,x,,,
Mead et al. 2006,California legless lizard,Anniella pulchra,,Anniella pulchra,ITIS,species,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anniella,Anniella pulchra,,,
Cisneros-Moreno & Martínez-Corone 2019,Soursop,Annona muricata,Annona muricata,Annona muricata,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona muricata,,,
Calderon Vega 2002,Queen's jewels,Antigonon leptopus,,Antigonon leptopus,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Antigonon,Antigonon leptopus,,,
Mead et al. 2006,Pallid bat,Antrozous pallidus,,Antrozous pallidus,ITIS,species,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionoidae,Antrozous,Antrozous pallidus,,,
Taylor 1954,Frog,frog,,Anura,ITIS,order,Animalia,Chordata,Amphibia,Anura,x,x,x,,,
Speir et al. 2021,Umbellifer,Apiaceae,,Apiaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,x,x,,,
Alexander et al. 1994,Bee,Apidae,not_specified,Apidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,x,x,,,
Calderon Vega 2002,Bee,Hymenoptera Apidae,,Apidae,ITIS,family,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,x,x,,,
Navarrete-Ozuna 2011,Honey bee,Apis mellifera,,Apis mellifera,ITIS,species,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,,,
Koch & Brody 1981,Bees,Apoidea spp.,not_specified,Apoidea,ITIS,superfamily,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,x,x,,,
Wyatt 1993,Bee,bee,not_specified,Apoidea,ITIS,superfamily,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,x,x,,,
Rodríguez-Estrella et al. 2000,Arachnid,Arachnida,,Arachnida,ITIS,subclass,Animalia,Arthropoda,Euchelicerata,x,x,x,x,,,
Toweill & Treer 1977,Arachnid,Arachnida,,Arachnida,ITIS,subclass,Animalia,Arthropoda,Euchelicerata,x,x,x,x,,,
