SiteType,Park,SiteID,CheckEvent,PreviousCheckEvent,Page_of_Data,deployment_duration_days,Season,HairStripsAnalyzed,InvertebrateCount,IPM,Order_Count
Outdoor,Zion,DZ,DZ_ST_15Dec2021,DZ_02Oct2021,1,71,Fall,4,25,10.56338028,4
Outdoor,Zion,DZ,DZ_ST_15Jun2021,DZ_17Feb2021,19,118,Spring,3,84,21.3559322,5
Outdoor,Zion,EC2,EC2_ST_01Dec2021,EC2_ST_02Oct2021,3,60,Fall,3,19,9.5,2
Outdoor,Zion,EC2,EC2_ST_18May2021,EC2_17Feb2021,17,65,Spring,4,5,2.307692308,2
Outdoor,Grand Canyon,GCBAC,GCBAC_ST_05Dec2021,GC22_12Sep2021,4,84,Fall,4,39,13.92857143,4
Outdoor,Grand Canyon,GCBAC,GCBAC_ST_05Jun2021,GCBAC_07May2021,,29,Spring,4,81,83.79310345,6
Building,Grand Canyon,GCBH,GCBH_ST_05Dec2021,GCBH_ST_12Sep2021,4,84,Fall,2,0,0,0
Building,Grand Canyon,GCBH,GCBH_ST_05Jun2021,GCBH_06May2021,,30,Spring,4,15,15,2
Building,Grand Canyon,GCJH,GCJH_ST_05Dec2021,GCJH_ST_12Sep2021,4,84,Fall,2,2,0.7142857143,1
Building,Grand Canyon,GCJH,GCJH_ST_05Jun2021,GCJH_06May2021,,30,Spring,2,2,2,2
Outdoor,Zion,LH,LH_ST_15Dec2021,LH_ST_23Sep2021,1,83,Fall,4,49,17.71084337,3
Outdoor,Zion,LH,LH_ST_14Jun2021,LH_17Feb2021,,117,Spring,1,5,1.282051282,1
Outdoor,Grand Canyon,NRM,GCNRM_ST_02Dec2021,GCNRM_ST_17Sep2021,2,76,Fall,3,15,5.921052632,2
Outdoor,Grand Canyon,NRM,GCNRM_ST_30Jun2021,NRM_08Jun2021,,22,Spring,2,7,9.545454545,3
Outdoor,Zion,OC,OC_ST_01Dec2021,OC_ST_04Oct2021,5,58,Fall,4,426,220.3448276,3
Outdoor,Zion,OC,OC_ST_08Jun2021,OC_16Feb2021,,112,Spring,4,39,10.44642857,3
Building,Zion,ZL01,ZL01_ST_11Nov2021,ZL01_02Aug2021,,101,Fall,3,2,0.5940594059,1
Building,Zion,ZL01,ZL01_10May2021,ZL01_16Feb2021,21,83,Spring,0,0,0,0
Building,Zion,ZL02,ZL02_ST_11Nov2021,ZL02_02Aug2021,,101,Fall,2,0,0,0
Building,Zion,ZL02,ZL02_10May2021,ZL02_16Feb2021,13,83,Spring,0,0,0,0
Building,Zion,ZL06,ZL06_ST_11Nov2021,ZL06_02Aug2021,,101,Fall,2,0,0,0
Building,Zion,ZL06,ZL06_10May2021,ZL06_16Feb2021,12,83,Spring,0,0,0,0
Building,Zion,ZL09,ZL09_ST_11Nov2021,ZL9_ST_02Aug2021,,101,Fall,4,24,7.128712871,3
Building,Zion,ZL09,ZL09_10May2021,ZL09_16Feb2021,11,83,Spring,0,0,0,0
