SiteType,Park,CheckEvent,TrapID,Individual_ID,Individual_Count,DistinguishingFeatures,TaxonomicID,TaxonomicRank,Box,Slot,,Phylum,Class,Order,Family,Genus,Species
Outdoor,Zion,EC2_ST_18May2021,EC2_ST_18May2021_1,EC2_18May2021_1_IND01,1,"head shape, chewing mouthparts",Formicidae,Family,I,A1,,Arthropoda,Insecta,Hymenoptera,Formicidae,,
Outdoor,Zion,EC2_ST_18May2021,EC2_ST_18May2021_1,EC2_18May2021_1_IND02,1,"head shape, clear body segments distinguishable",Formicidae,Family,I,A2,,Arthropoda,Insecta,Hymenoptera,Formicidae,,
Outdoor,Zion,EC2_ST_18May2021,EC2_ST_18May2021_1,EC2_18May2021_1_IND03,1,chitinous elytra,Coleoptera,Order,I,A3,,Arthropoda,Insecta,Coleoptera,,,
Outdoor,Zion,EC2_ST_18May2021,EC2_ST_18May2021_1,EC2_18May2021_1_IND04,1,"partial individual (small bits), appears to have some layering",Insecta,Class,I,A4,,Arthropoda,Insecta,,,,
Outdoor,Zion,EC2_ST_18May2021,EC2_ST_18May2021_2,EC2_18May2021_2_IND01,1,"layered plate-like structure, long, folded leg lacking prominent bristles, small size",Insecta,Class,I,A5,,Arthropoda,Insecta,,,,
Outdoor,Zion,EC2_ST_18May2021,EC2_ST_18May2021_4,EC2_18May2021_4_IND01,0,no clear body structure,debris,,I,A6,,,,,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND01,1,similar to PC_27Jun2021_2_IND06; cerci are not toothed,Forficula auricularia,Species,I,G7,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND02,1,similar to DZ_15Jun2021_1_IND01,Forficula auricularia,Species,I,G8,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND03,1,"similar to DZ_15Jun2021_1_IND01, but less complete -- abdomen and cerci are similar, similar head shape",Forficula auricularia,Species,I,G9,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND04,1,"cockroach, light color, dark front of head, flat veined wings",Parcoblatta,Genus,I,G10,,Arthropoda,Insecta,Blattodea,Ectobiidae,Parcoblatta,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND05,1,similar to DZ_15Jun2021_1_IND04,Parcoblatta,Genus,I,H1,,Arthropoda,Insecta,Blattodea,Ectobiidae,Parcoblatta,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND06,1,similar to DZ_15Jun2021_1_IND01,Forficula auricularia,Species,I,H2,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND07,1,similar to DZ_15Jun2021_1_IND01,Forficula auricularia,Species,I,H3,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND08,1,"number of legs, eye pattern",Salticidae,Family,I,H4,,Arthropoda,Insecta,Araneae,Salticidae,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND09,1,"cerci; long, thin body, wider at the end of the abdomen",Forficula auricularia,Species,I,H5,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND10,1,"head shape, body shape",Dermaptera,Order,I,H6,,Arthropoda,Insecta,Dermaptera,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND11,1,"small segments on antenna, abdomen and cerci similar to Dermaptera from same check event",Forficula auricularia,Species,I,H7,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND12,1,"cerci, end of abdomen shape",Forficula auricularia,Species,I,H8,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND13,1,"head shape, abdomen shape, antenna shape",Formicidae,Family,I,H9,,Arthropoda,Insecta,Hymenoptera,Formicidae,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND14,0,no clear body structure,debris,,I,H10,,,,,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND15,1,head shape and mouthparts,Formicidae,Family,I,I1,,Arthropoda,Insecta,Hymenoptera,Formicidae,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND16,1,"shield-like thorax, eyes",Blattodea,Order,I,I2,,Arthropoda,Insecta,Blattodea,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND17,2,"head shape, head to thorax connection",Dermaptera,Order,I,I3,,Arthropoda,Insecta,Dermaptera,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND18,1,"head shape, chewing mouthparts",Formicidae,Family,I,I4,,Arthropoda,Insecta,Hymenoptera,Formicidae,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND19,1,"partial individual (small bits, some leg)",Arthropoda,Phylum,I,I5,,Arthropoda,,,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND20,1,"head shape, head to thorax connection, antennae",Dermaptera,Order,I,I6,,Arthropoda,Insecta,Dermaptera,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND21,1,"compound eyes, long antennae with small segments",Insecta,Class,I,I7,,Arthropoda,Insecta,,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND22,1,partial individual (leg only) -- spined leg,Insecta,Class,I,I8,,Arthropoda,Insecta,,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_1,DZ_15Jun2021_1_IND23,1,"cerci, round end of abdomen, layered segments on abdomen",Forficula auricularia,Species,I,I9,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021,DZ_15Jun2021_IND01,1,Parcoblatta? flat back and layered segments,Blattodea,Order,I,I10,,Arthropoda,Insecta,Blattodea,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_3,DZ_15Jun2021_3_IND01,1,"wrinkled abdomen, hymenoptera-like eye shape, long curved part on head?",Insecta,Class,I,J1,,Arthropoda,Insecta,,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_3,DZ_15Jun2021_3_IND02,1,"head shape, chewing mouthparts",Formicidae,Family,I,J2,,Arthropoda,Insecta,Hymenoptera,Formicidae,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_3,DZ_15Jun2021_3_IND03,1,"cerci, wing shape",Forficula auricularia,Species,I,J3,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_2,DZ_15Jun2021_2_IND01,1,"cerci, ant-like head shape",Forficula auricularia,Species,I,J4,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_2,DZ_15Jun2021_2_IND02,1,"fly, red eyes and single color black body, body shape -- blow fly",Calliphoridae,Family,I,J5,,Arthropoda,Insecta,Diptera,Calliphoridae,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_2,DZ_15Jun2021_2_IND03,1,"relatively large thorax, veined wings, compound eyes relatively large in head, head shape",Diptera,Order,I,J6,,Arthropoda,Insecta,Diptera,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_2,DZ_15Jun2021_2_IND04,1,"very broken up, a loose cerci present",Dermaptera,Order,I,J7,,Arthropoda,Insecta,Dermaptera,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_2,DZ_15Jun2021_2_IND05,1,"partial individual (no head), layered segments of abdomen",Insecta,Class,I,J8,,Arthropoda,Insecta,,,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_2,DZ_15Jun2021_2_IND06,1,"one pair of veined wings, hairy body, leg shape",Calliphoridae,Family,I,J9,,Arthropoda,Insecta,Diptera,Calliphoridae,,
Outdoor,Zion,DZ_ST_15Jun2021,DZ_ST_15Jun2021_2,DZ_15Jun2021_2_IND07,51,"cerci, wing shape, head shape, Forficulidae",Forficula auricularia,Species,sc,sc,,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,Forficula auricularia
Outdoor,GC,GCNRM_ST_30Jun2021,GCNRM_ST_30Jun2021_1,NRM_30Jun2021_1_IND01,1,head and mouth shape,Diptera,Order,I,J10,,Arthropoda,Insecta,Diptera,,,
Outdoor,GC,GCNRM_ST_30Jun2021,GCNRM_ST_30Jun2021_1,NRM_30Jun2021_1_IND02,1,"compound eyes, sort of butt-shaped head with a protrusion(?) coming from it, small layered part that may be the abdomen?",Insecta,Class,II,A1,,Arthropoda,Insecta,,,,
Outdoor,GC,GCNRM_ST_30Jun2021,GCNRM_ST_30Jun2021_1,NRM_30Jun2021_1_IND03,1,partial individual (legs only),Hymenoptera,Order,II,A2,,Arthropoda,Insecta,Hymenoptera,,,
Outdoor,GC,GCNRM_ST_30Jun2021,GCNRM_ST_30Jun2021_1,NRM_30Jun2021_1_IND04,1,"long stinger (or short ovipositor?), head shape",Insecta,Class,II,A3,,Arthropoda,Insecta,,,,
